app_id,user_id,apply_dt,channel,product_type,requested_amount,requested_term,risk_score,decision,approve_dt,approved_amount,approved_term
1,1963,2025-08-17 18:49:12,app,short_term,1702,7,614,approved,2025-08-19 18:49:12,1702,7
2,922,2024-12-21 06:31:57,app,installment,3025,90,530,approved,2024-12-22 06:31:57,3025,90
3,4820,2024-04-14 11:04:50,app,short_term,3991,7,560,rejected,,0,0
4,689,2025-10-11 13:51:31,app,short_term,2481,30,626,approved,2025-10-12 13:51:31,2481,30
5,2570,2025-05-07 17:12:02,web,short_term,2480,30,605,approved,2025-05-08 17:12:02,2480,30
6,3881,2025-02-03 10:38:34,app,installment,4268,180,513,rejected,,0,0
7,4998,2024-02-05 21:02:27,web,installment,2042,90,637,approved,2024-02-07 21:02:27,2042,90
8,129,2024-10-15 13:50:22,app,short_term,1746,21,646,approved,2024-10-17 13:50:22,1746,21
9,1110,2024-11-04 10:45:04,app,installment,2872,90,619,rejected,,0,0
10,47,2025-02-01 07:09:00,app,installment,3276,60,575,rejected,,0,0
11,1052,2024-12-28 23:46:59,app,short_term,3139,14,591,rejected,,0,0
12,1101,2024-11-13 12:06:55,app,installment,2646,120,579,approved,2024-11-14 12:06:55,2646,120
13,4346,2024-09-13 23:12:00,partner,installment,4636,90,544,rejected,,0,0
14,280,2025-11-05 01:52:46,app,short_term,2579,14,525,rejected,,0,0
15,4273,2025-03-12 10:45:35,app,short_term,4578,14,655,approved,2025-03-12 10:45:35,4578,14
16,2491,2025-11-17 07:11:25,app,short_term,3062,30,575,rejected,,0,0
17,4356,2025-05-20 19:05:02,app,installment,4584,90,577,rejected,,0,0
18,2753,2024-08-14 12:09:07,web,installment,2510,120,617,rejected,,0,0
19,2877,2024-05-27 07:36:20,app,short_term,640,14,607,rejected,,0,0
20,2178,2025-06-20 00:34:28,app,short_term,1556,7,562,rejected,,0,0
21,3931,2025-01-04 23:35:09,app,short_term,4762,14,608,approved,2025-01-06 23:35:09,4762,14
22,2099,2024-05-09 09:04:02,web,short_term,974,14,647,approved,2024-05-11 09:04:02,974,14
23,2526,2025-08-13 07:32:41,app,short_term,1755,21,598,rejected,,0,0
24,1393,2025-06-27 04:10:42,partner,short_term,1697,7,675,approved,2025-06-27 04:10:42,1697,7
25,1192,2024-08-08 03:51:33,app,installment,887,90,641,approved,2024-08-08 03:51:33,887,90
26,4410,2024-02-03 05:15:43,app,short_term,3730,30,545,rejected,,0,0
27,3971,2025-01-26 10:55:45,app,installment,3510,120,615,approved,2025-01-27 10:55:45,3510,120
28,2328,2024-06-19 04:54:59,app,installment,4190,120,568,rejected,,0,0
29,1156,2025-06-14 11:15:33,partner,short_term,3313,7,573,rejected,,0,0
30,3724,2025-03-27 21:04:07,partner,installment,1674,180,582,rejected,,0,0
31,120,2025-06-04 16:37:00,app,short_term,4716,14,621,approved,2025-06-04 16:37:00,4716,14
32,3504,2024-09-14 11:08:36,partner,installment,1042,60,620,approved,2024-09-16 11:08:36,1042,60
33,1344,2024-10-25 14:01:35,app,short_term,3378,30,644,approved,2024-10-26 14:01:35,3378,30
34,299,2024-05-10 19:41:50,app,short_term,709,21,614,rejected,,0,0
35,227,2024-10-08 15:21:36,app,installment,675,180,621,approved,2024-10-09 15:21:36,675,180
36,4540,2024-06-05 17:14:35,partner,installment,684,180,606,rejected,,0,0
37,939,2025-07-03 09:59:11,web,short_term,1305,7,618,rejected,,0,0
38,1999,2025-07-21 09:03:56,app,short_term,3362,7,580,rejected,,0,0
39,1864,2025-03-15 00:58:57,app,installment,4058,120,591,rejected,,0,0
40,3703,2025-11-09 22:28:31,app,installment,1393,60,605,approved,2025-11-11 22:28:31,1393,60
41,2522,2024-04-03 05:02:28,app,short_term,3400,30,587,rejected,,0,0
42,2590,2025-05-25 11:26:21,web,installment,1930,60,639,approved,2025-05-26 11:26:21,1930,60
43,4769,2024-08-05 15:00:36,app,installment,1005,90,641,approved,2024-08-05 15:00:36,1005,90
44,63,2024-05-08 01:42:49,partner,short_term,1538,7,647,approved,2024-05-09 01:42:49,1538,7
45,2310,2025-01-17 21:34:47,web,installment,4284,120,625,rejected,,0,0
46,4699,2024-06-22 18:14:24,app,short_term,664,21,637,approved,2024-06-24 18:14:24,664,21
47,2475,2025-07-01 16:28:22,app,installment,4093,120,577,rejected,,0,0
48,618,2025-02-28 03:31:23,app,installment,2069,90,677,approved,2025-03-01 03:31:23,2069,90
49,4349,2025-06-04 13:12:02,partner,short_term,4725,7,626,rejected,,0,0
50,3902,2024-12-23 13:44:45,app,short_term,2315,30,550,approved,2024-12-23 13:44:45,2315,30
51,1245,2025-10-14 00:22:34,app,short_term,2763,14,608,rejected,,0,0
52,4731,2025-01-03 06:56:50,app,short_term,2400,7,600,approved,2025-01-05 06:56:50,2400,7
53,4380,2024-12-23 09:12:50,app,short_term,2649,14,595,approved,2024-12-25 09:12:50,2649,14
54,3643,2024-12-21 10:21:35,web,installment,3150,90,571,approved,2024-12-23 10:21:35,3150,90
55,4620,2024-12-31 12:04:00,app,short_term,1942,7,669,approved,2025-01-02 12:04:00,1942,7
56,2669,2024-09-27 14:06:48,app,short_term,1999,14,542,rejected,,0,0
57,1839,2024-06-19 12:45:24,partner,installment,3668,90,549,rejected,,0,0
58,1402,2024-03-25 04:35:09,partner,short_term,1825,7,632,approved,2024-03-26 04:35:09,1825,7
59,1352,2025-08-04 08:04:40,app,installment,4573,90,614,approved,2025-08-04 08:04:40,4538,90
60,3108,2025-01-07 06:55:45,app,installment,3042,180,553,rejected,,0,0
61,3913,2024-05-16 07:22:25,partner,short_term,1057,14,466,rejected,,0,0
62,1540,2025-11-01 21:52:53,app,short_term,3687,7,467,rejected,,0,0
63,3536,2025-02-05 23:46:13,web,installment,1242,180,595,approved,2025-02-05 23:46:13,1242,180
64,1113,2025-04-05 13:13:58,web,installment,3298,90,680,approved,2025-04-06 13:13:58,3298,90
65,1562,2024-08-19 20:12:11,web,installment,2390,60,575,rejected,,0,0
66,2739,2025-03-20 14:14:00,app,installment,2764,180,504,rejected,,0,0
67,2034,2024-04-13 15:24:57,app,short_term,2843,7,544,rejected,,0,0
68,1135,2025-08-09 18:41:25,app,installment,2297,120,581,approved,2025-08-10 18:41:25,2297,120
69,2469,2025-08-30 03:00:13,app,installment,1707,180,564,rejected,,0,0
70,3037,2025-08-19 18:27:14,app,installment,3419,120,591,approved,2025-08-19 18:27:14,3419,120
71,2705,2025-03-20 12:09:48,app,short_term,977,21,554,rejected,,0,0
72,3064,2024-08-15 04:48:16,app,short_term,2696,7,572,approved,2024-08-16 04:48:16,2696,7
73,3139,2025-10-11 07:32:57,app,short_term,1873,7,591,rejected,,0,0
74,2214,2025-08-03 23:05:30,app,short_term,4238,21,541,rejected,,0,0
75,1841,2025-05-02 01:22:29,app,installment,1955,90,555,rejected,,0,0
76,3910,2025-09-01 07:31:25,web,installment,4862,60,621,approved,2025-09-03 07:31:25,4862,60
77,1613,2025-12-22 14:33:05,app,short_term,1528,14,626,approved,2025-12-24 14:33:05,1528,14
78,3238,2024-12-14 19:36:40,app,short_term,613,30,601,approved,2024-12-14 19:36:40,613,30
79,3669,2024-04-20 04:28:10,app,installment,652,90,484,rejected,,0,0
80,4622,2025-02-12 08:36:38,web,short_term,2177,21,633,rejected,,0,0
81,1168,2025-01-26 03:32:35,app,installment,3042,180,557,rejected,,0,0
82,1406,2025-05-20 10:03:06,app,short_term,3327,30,488,rejected,,0,0
83,429,2024-10-21 18:20:53,web,installment,4217,60,498,rejected,,0,0
84,4243,2025-07-15 10:10:46,app,short_term,512,30,527,approved,2025-07-15 10:10:46,512,30
