risk_score_decile,loan_cnt,bad_cnt,bad_rate,score_min,score_max,score_mean,amount_sum
1,294,25,0.08503401360544217,470,561,543.2517006802722,787754.0
2,291,10,0.03436426116838488,562,577,569.852233676976,791198.0
3,314,3,0.009554140127388535,578,589,584.1783439490446,858005.0
4,265,4,0.01509433962264151,590,597,593.4150943396227,706351.0
5,293,2,0.006825938566552901,598,605,601.641638225256,780751.0
6,298,3,0.010067114093959731,606,613,609.3590604026846,814048.0
7,293,0,0.0,614,621,617.6177474402731,802971.0
8,288,4,0.013888888888888888,622,631,626.2638888888889,773199.0
9,284,0,0.0,632,645,637.943661971831,765309.0
10,287,0,0.0,646,717,660.2369337979094,834924.0
