app_id,user_id,apply_dt,login_7d,login_30d,night_ratio,device_change_90d,app_install_cnt,sms_cnt_7d
1,1963,2025-08-17 18:49:12,4,27,0.08,0,60,26
2,922,2024-12-21 06:31:57,3,30,0.45,0,77,17
3,4820,2024-04-14 11:04:50,10,19,0.41,0,41,55
4,689,2025-10-11 13:51:31,0,5,0.12,0,72,32
5,2570,2025-05-07 17:12:02,1,19,0.36,0,75,22
6,3881,2025-02-03 10:38:34,2,25,0.56,0,44,2
7,4998,2024-02-05 21:02:27,3,20,0.25,0,45,25
8,129,2024-10-15 13:50:22,3,27,0.38,0,40,41
9,1110,2024-11-04 10:45:04,3,13,0.22,0,37,31
10,47,2025-02-01 07:09:00,3,22,0.04,0,70,0
11,1052,2024-12-28 23:46:59,0,29,0.36,0,84,26
12,1101,2024-11-13 12:06:55,4,22,0.4,0,55,37
13,4346,2024-09-13 23:12:00,8,5,0.61,1,59,44
14,280,2025-11-05 01:52:46,6,11,0.19,1,79,55
15,4273,2025-03-12 10:45:35,7,20,0.03,0,36,35
16,2491,2025-11-17 07:11:25,4,18,0.33,0,76,50
17,4356,2025-05-20 19:05:02,5,5,0.28,0,66,24
18,2753,2024-08-14 12:09:07,2,14,0.11,1,27,22
19,2877,2024-05-27 07:36:20,9,22,0.4,0,90,40
20,2178,2025-06-20 00:34:28,8,13,0.23,0,90,27
21,3931,2025-01-04 23:35:09,0,22,0.38,0,49,28
22,2099,2024-05-09 09:04:02,4,12,0.1,0,54,7
23,2526,2025-08-13 07:32:41,2,11,0.47,0,69,38
24,1393,2025-06-27 04:10:42,8,18,0.19,0,37,22
25,1192,2024-08-08 03:51:33,7,20,0.43,0,62,25
26,4410,2024-02-03 05:15:43,1,26,0.34,0,31,27
27,3971,2025-01-26 10:55:45,3,17,0.18,0,59,16
28,2328,2024-06-19 04:54:59,4,20,0.29,0,58,23
29,1156,2025-06-14 11:15:33,5,0,0.26,0,29,41
30,3724,2025-03-27 21:04:07,7,27,0.25,0,93,17
31,120,2025-06-04 16:37:00,1,13,0.38,0,56,30
32,3504,2024-09-14 11:08:36,9,27,0.29,0,66,45
33,1344,2024-10-25 14:01:35,0,22,0.05,0,78,8
34,299,2024-05-10 19:41:50,9,12,0.32,0,69,22
35,227,2024-10-08 15:21:36,5,6,0.23,0,64,20
36,4540,2024-06-05 17:14:35,1,11,0.23,1,62,27
37,939,2025-07-03 09:59:11,8,19,0.12,0,58,37
38,1999,2025-07-21 09:03:56,5,47,0.51,0,33,33
39,1864,2025-03-15 00:58:57,2,2,0.4,0,63,35
40,3703,2025-11-09 22:28:31,3,14,0.08,0,59,14
41,2522,2024-04-03 05:02:28,4,3,0.02,0,83,39
42,2590,2025-05-25 11:26:21,2,14,0.15,0,48,44
43,4769,2024-08-05 15:00:36,7,24,0.12,0,54,0
44,63,2024-05-08 01:42:49,6,8,0.3,0,78,36
45,2310,2025-01-17 21:34:47,6,17,0.08,0,70,23
46,4699,2024-06-22 18:14:24,1,14,0.1,0,68,27
47,2475,2025-07-01 16:28:22,3,29,0.21,0,44,36
48,618,2025-02-28 03:31:23,8,9,0.23,0,94,40
49,4349,2025-06-04 13:12:02,10,19,0.27,0,33,32
50,3902,2024-12-23 13:44:45,9,21,0.21,0,81,42
51,1245,2025-10-14 00:22:34,2,9,0.02,1,61,43
52,4731,2025-01-03 06:56:50,7,1,0.22,0,50,16
53,4380,2024-12-23 09:12:50,4,10,0.52,0,39,42
54,3643,2024-12-21 10:21:35,4,24,0.32,0,46,19
55,4620,2024-12-31 12:04:00,0,28,0.18,0,75,27
56,2669,2024-09-27 14:06:48,1,11,0.31,0,57,23
57,1839,2024-06-19 12:45:24,8,14,0.36,0,77,15
58,1402,2024-03-25 04:35:09,5,9,0.37,0,24,28
59,1352,2025-08-04 08:04:40,0,16,0.32,0,91,18
60,3108,2025-01-07 06:55:45,4,29,0.56,0,69,29
61,3913,2024-05-16 07:22:25,6,0,0.14,1,59,34
62,1540,2025-11-01 21:52:53,13,24,0.18,0,49,29
63,3536,2025-02-05 23:46:13,4,16,0.46,0,36,29
64,1113,2025-04-05 13:13:58,3,24,0.51,1,66,19
65,1562,2024-08-19 20:12:11,6,22,0.28,0,64,29
66,2739,2025-03-20 14:14:00,5,16,0.23,0,59,18
67,2034,2024-04-13 15:24:57,7,31,0.24,0,68,14
68,1135,2025-08-09 18:41:25,5,25,0.06,0,64,37
69,2469,2025-08-30 03:00:13,7,27,0.39,1,49,27
70,3037,2025-08-19 18:27:14,6,17,0.11,0,50,12
71,2705,2025-03-20 12:09:48,3,16,0.13,0,76,31
72,3064,2024-08-15 04:48:16,5,12,0.3,0,42,12
73,3139,2025-10-11 07:32:57,11,7,0.11,0,59,22
74,2214,2025-08-03 23:05:30,9,39,0.62,0,66,7
75,1841,2025-05-02 01:22:29,4,28,0.53,0,80,44
76,3910,2025-09-01 07:31:25,9,9,0.36,1,88,43
77,1613,2025-12-22 14:33:05,6,19,0.31,0,80,42
78,3238,2024-12-14 19:36:40,7,22,0.34,0,68,16
79,3669,2024-04-20 04:28:10,5,13,0.35,0,67,8
80,4622,2025-02-12 08:36:38,2,24,0.16,0,86,11
81,1168,2025-01-26 03:32:35,3,21,0.23,0,38,57
82,1406,2025-05-20 10:03:06,3,13,0.09,1,70,28
83,429,2024-10-21 18:20:53,4,13,0.06,0,49,24
84,4243,2025-07-15 10:10:46,6,23,0.09,0,58,55
85,2565,2025-03-22 07:15:20,7,2,0.58,0,62,42
86,997,2024-05-22 14:22:48,2,32,0.26,0,74,23
87,4251,2024-07-04 01:09:42,4,15,0.15,0,34,34
88,39,2025-07-15 12:27:03,5,18,0.3,0,41,46
89,991,2024-02-29 15:44:47,0,13,0.4,0,38,8
90,648,2024-03-05 17:07:49,3,1,0.37,0,28,9
91,4764,2025-09-28 22:17:48,11,22,0.43,0,70,35
92,4243,2025-07-31 19:54:41,3,18,0.12,0,35,46
93,3358,2024-08-09 10:17:45,1,20,0.35,1,59,41
94,3628,2024-05-09 08:23:21,10,15,0.17,0,91,40
95,2866,2025-10-25 00:50:02,4,18,0.48,0,67,53
96,898,2024-09-26 07:24:13,6,4,0.22,0,66,31
97,2302,2024-02-16 07:38:32,7,11,0.3,0,56,20
98,4867,2025-06-26 04:30:23,7,32,0.35,0,32,28
99,2824,2025-08-16 07:22:21,2,15,0.23,0,59,31
100,2827,2024-10-10 12:03:07,0,40,0.32,0,28,26
101,818,2024-08-26 05:00:21,5,24,0.6,0,56,19
102,1965,2024-03-03 00:05:41,2,6,0.43,0,47,40
103,4006,2025-09-22 14:28:14,5,27,0.22,0,84,78
104,1834,2024-03-20 21:28:05,9,10,0.22,0,83,57
105,3762,2024-12-23 17:49:22,5,11,0.11,0,75,31
106,3316,2024-12-02 17:02:43,0,16,0.13,0,65,16
107,4877,2024-05-15 03:23:55,4,24,0.18,0,75,22
108,4957,2025-03-16 21:53:56,8,14,0.25,0,27,27
109,3687,2024-07-29 23:23:53,1,6,0.33,0,45,38
110,4202,2024-10-06 07:06:41,4,29,0.0,0,32,33
111,4881,2024-07-30 23:56:13,3,4,0.1,0,55,33
112,140,2025-08-20 06:44:49,1,29,0.47,0,60,27
113,2586,2025-10-24 00:34:31,8,39,0.37,0,60,53
114,4219,2025-07-18 13:20:02,6,34,0.14,1,54,47
115,1894,2024-09-19 19:07:58,0,0,0.28,0,71,43
116,4490,2024-09-11 15:38:06,5,8,0.1,0,75,20
117,1838,2024-07-28 00:34:08,6,32,0.1,0,57,5
118,375,2025-03-07 00:50:28,6,22,0.29,0,37,29
119,3027,2024-06-18 01:04:27,6,15,0.47,0,73,37
120,4570,2025-04-03 16:07:37,5,21,0.34,0,78,46
121,334,2025-01-07 19:47:49,2,4,0.29,0,71,33
122,4512,2024-11-22 02:22:29,8,10,0.41,0,83,24
123,3625,2025-01-16 00:27:22,8,7,0.2,0,89,39
124,4146,2024-02-11 04:24:42,14,19,0.38,0,58,41
125,4567,2025-09-17 15:52:14,5,46,0.08,0,50,44
126,2391,2025-06-20 08:53:49,5,23,0.39,0,66,39
127,3342,2025-01-10 02:12:55,8,33,0.27,0,43,31
128,1299,2025-04-26 12:10:35,3,15,0.17,0,60,21
129,4714,2024-09-07 23:08:45,10,38,0.07,0,72,4
130,843,2024-07-09 10:09:57,5,22,0.31,0,61,50
131,4348,2025-08-11 12:54:04,7,35,0.27,0,44,57
132,870,2025-01-26 05:49:25,1,0,0.16,0,75,8
133,2142,2025-07-04 04:44:34,2,34,0.31,0,34,35
134,4879,2025-06-10 22:46:02,4,19,0.55,0,59,42
135,2604,2024-06-03 00:43:02,4,18,0.27,0,67,39
136,3097,2025-09-27 21:22:15,6,24,0.08,0,91,46
137,1787,2025-10-18 22:22:27,1,22,0.26,0,75,34
138,2811,2025-08-21 02:27:08,4,19,0.3,0,31,51
139,4972,2025-02-06 01:52:31,5,15,0.39,0,74,26
140,293,2025-04-16 09:03:51,2,25,0.22,0,35,47
141,524,2025-07-09 12:20:05,6,0,0.24,0,112,29
142,1858,2024-02-01 10:07:06,1,28,0.1,1,31,41
143,4822,2025-11-03 11:13:30,0,14,0.11,0,76,12
144,3039,2025-07-23 13:58:43,8,21,0.71,0,47,5
145,4565,2025-10-12 20:07:11,11,13,0.15,0,39,19
146,4497,2024-05-06 20:00:54,6,8,0.18,0,55,36
147,3224,2024-09-30 06:19:37,5,21,0.12,0,34,9
148,2871,2025-08-06 06:14:33,3,41,0.34,0,41,20
149,596,2024-05-17 17:18:50,5,25,0.57,0,69,25
150,2638,2025-04-18 12:58:31,2,26,0.17,0,65,40
151,182,2025-02-07 19:01:23,6,35,0.09,0,29,17
152,1123,2025-11-25 20:27:34,1,10,0.36,1,71,38
153,3051,2025-05-20 19:01:27,2,31,0.7,0,77,25
154,437,2025-01-22 01:45:01,11,28,0.12,0,44,42
155,4805,2025-08-08 19:49:09,6,18,0.24,0,67,28
156,2401,2024-12-08 11:11:20,8,33,0.03,0,59,33
157,3398,2024-04-23 19:34:53,7,23,0.31,0,68,48
158,2386,2024-08-29 03:14:35,0,8,0.36,0,49,23
159,754,2024-11-01 07:45:10,3,18,0.13,0,60,0
160,3949,2024-06-23 11:23:44,5,9,0.11,0,83,27
161,2045,2025-11-27 06:21:07,3,21,0.09,0,70,0
162,269,2024-03-02 18:43:38,2,17,0.04,0,87,39
163,1140,2024-12-13 06:27:43,3,1,0.14,0,66,43
164,4823,2025-11-25 08:21:52,8,20,0.47,0,74,47
165,3728,2025-07-30 22:47:42,4,15,0.16,0,66,24
166,949,2024-03-26 21:59:05,3,13,0.17,0,25,30
167,2803,2024-10-25 05:11:58,3,24,0.33,0,95,21
168,4204,2024-05-28 22:06:09,6,29,0.25,0,68,58
169,4265,2025-04-11 13:01:14,2,27,0.52,0,38,47
170,2094,2025-11-20 12:17:24,6,21,0.19,0,90,15
171,69,2025-05-29 09:02:22,5,12,0.45,0,21,37
172,4737,2025-05-06 02:29:05,4,28,0.1,0,44,38
173,3341,2025-03-16 21:21:05,6,34,0.13,0,30,42
174,3608,2024-04-29 13:39:26,3,40,0.67,0,66,64
175,4630,2025-02-26 05:01:45,2,12,0.27,0,94,20
176,2023,2025-05-15 08:38:21,7,21,0.14,0,63,36
177,1535,2024-03-16 20:41:10,2,15,0.16,0,81,29
178,4954,2025-06-17 03:46:06,9,21,0.38,0,37,43
179,2979,2025-02-08 21:09:47,4,11,0.16,0,58,47
180,1676,2024-12-27 08:25:07,4,18,0.05,0,66,32
181,703,2025-10-02 11:07:32,10,18,0.43,0,63,23
182,200,2025-03-27 23:05:37,9,6,0.19,0,56,32
183,3742,2025-12-11 23:13:35,6,17,0.35,0,62,31
184,190,2024-12-15 11:05:06,2,18,0.04,0,80,33
185,3930,2025-12-09 20:25:39,3,22,0.44,0,41,37
186,1893,2024-03-18 22:21:38,9,23,0.4,0,52,30
187,4820,2025-01-15 11:11:31,6,33,0.1,0,97,42
188,4436,2024-06-28 13:16:17,6,16,0.38,0,33,42
189,320,2025-05-13 14:39:34,2,14,0.6,0,43,44
190,453,2025-02-16 21:36:16,7,10,0.26,0,54,45
191,1523,2024-07-12 00:18:11,5,24,0.41,0,96,28
192,2868,2024-04-08 03:32:01,5,12,0.17,0,67,27
193,3057,2025-07-09 12:21:36,1,5,0.4,0,48,38
194,2450,2025-07-06 02:36:10,1,27,0.44,0,66,30
195,2352,2024-08-27 03:26:48,0,37,0.45,0,82,39
196,3290,2025-10-23 16:46:48,4,21,0.09,0,56,24
197,2455,2024-06-02 15:04:35,4,24,0.42,0,67,38
198,4270,2024-07-12 07:32:55,7,29,0.22,0,62,47
199,4085,2025-12-13 12:22:56,6,32,0.05,0,41,27
200,3338,2024-08-01 00:00:39,6,29,0.25,0,45,34
201,3777,2025-09-05 04:16:26,9,29,0.63,0,60,19
202,559,2024-09-23 16:59:08,8,19,0.17,1,18,20
203,3123,2024-10-12 03:42:42,0,6,0.48,0,38,48
204,1836,2025-06-02 03:36:42,0,14,0.12,0,66,33
205,1599,2024-12-04 03:12:03,10,19,0.27,0,72,0
206,2845,2024-09-01 10:03:56,2,16,0.35,0,41,26
207,2622,2025-01-21 02:06:22,0,18,0.26,0,62,7
208,2582,2024-02-28 06:14:43,4,40,0.23,0,51,55
209,564,2025-12-01 15:52:15,5,17,0.27,0,51,23
210,4087,2024-07-27 06:57:22,5,18,0.08,0,58,42
211,3569,2024-03-24 15:10:51,4,45,0.19,0,36,18
212,1849,2024-03-25 04:03:54,10,13,0.12,0,10,41
213,3638,2025-04-02 12:18:39,1,6,0.16,0,76,31
214,1399,2024-01-28 22:04:37,13,12,0.45,0,10,31
215,1436,2025-12-17 02:14:40,7,42,0.13,0,51,20
216,4839,2024-04-18 20:06:23,5,15,0.41,0,33,48
217,2949,2024-07-20 18:14:16,2,15,0.07,0,90,26
218,2288,2024-08-12 14:41:41,6,23,0.3,0,68,37
219,355,2025-02-06 17:51:59,6,19,0.14,0,15,22
220,3289,2025-06-09 03:43:50,3,5,0.24,0,47,42
221,407,2024-09-04 01:01:46,6,36,0.09,0,51,46
222,874,2025-06-15 13:19:11,0,32,0.15,0,73,34
223,1063,2025-02-10 08:57:50,3,14,0.15,1,55,25
224,2674,2025-03-29 21:56:33,12,6,0.1,0,63,26
225,1858,2025-07-19 18:44:29,7,7,0.25,0,35,28
226,3781,2025-01-11 12:54:42,1,12,0.06,0,77,19
227,372,2025-12-19 20:07:01,0,7,0.27,0,53,39
228,3750,2024-03-03 21:03:55,3,36,0.09,0,80,23
229,3991,2024-04-17 02:10:21,1,5,0.17,0,82,42
230,4582,2025-05-23 13:39:01,3,5,0.25,0,69,46
231,2980,2024-06-10 23:01:01,0,23,0.3,0,85,41
232,4566,2024-11-11 13:23:35,7,8,0.37,0,84,57
233,4294,2024-07-24 19:19:28,6,13,0.14,1,65,47
