feature,bins,min_bad_rate,max_bad_rate,monotonic,bin_type
delinq_12m,6,0.01081665765278529,0.3333333333333333,False,numeric_as_categorical
emulator_rate,5,0.0,0.125,False,numeric_as_categorical
inquiry_3m,7,0.0,0.0975609756097561,False,numeric_as_categorical
rooted_rate,5,0.0,0.07042253521126761,False,numeric_as_categorical
device_risk_score_mean,10,0.0038910505836575876,0.047619047619047616,False,numeric_binned
bureau_score,10,0.008064516129032258,0.046610169491525424,False,numeric_binned
monthly_income,10,0.0,0.043478260869565216,False,numeric_binned
requested_amount,10,0.004273504273504274,0.03862660944206009,False,numeric_binned
ip_risk_level_max,5,0.01060070671378092,0.038461538461538464,False,numeric_as_categorical
residence_years,10,0.008547008547008548,0.03755868544600939,False,numeric_binned
ip_risk_level_mean,7,0.0,0.034782608695652174,False,numeric_binned
android_share,5,0.012903225806451613,0.033707865168539325,False,numeric_as_categorical
apply_hour,10,0.0,0.03296703296703297,False,numeric_binned
city_tier,5,0.006993006993006993,0.03292181069958848,False,numeric_as_categorical
app_install_cnt,10,0.0040650406504065045,0.03278688524590164,False,numeric_binned
open_accounts,10,0.0,0.03255813953488372,False,numeric_binned
night_ratio,10,0.0078125,0.03111111111111111,False,numeric_binned
requested_term,8,0.003816793893129771,0.030959752321981424,False,numeric_as_categorical
rooted_any,2,0.01599247412982126,0.03015075376884422,False,numeric_as_categorical
device_risk_score_max,10,0.00823045267489712,0.029914529914529916,False,numeric_binned
age,10,0.0,0.029850746268656716,False,numeric_binned
phone_age_months,10,0.0045871559633027525,0.028925619834710745,False,numeric_binned
apply_dayofweek,7,0.005235602094240838,0.02830188679245283,False,numeric_as_categorical
sms_cnt_7d,10,0.004405286343612335,0.028112449799196786,False,numeric_binned
credit_utilization,10,0.008032128514056224,0.027237354085603113,False,numeric_binned
geo_consistent_rate,5,0.0,0.026595744680851064,False,numeric_as_categorical
contact_count,10,0.008620689655172414,0.02608695652173913,False,numeric_binned
company_type,4,0.012396694214876033,0.02556818181818182,False,categorical
login_7d,9,0.009259259259259259,0.023622047244094488,False,numeric_binned
login_30d,10,0.007905138339920948,0.023529411764705882,False,numeric_binned
emergency_contact_count,5,0.010752688172043012,0.02178649237472767,False,numeric_as_categorical
product_type,2,0.013096351730589336,0.020700636942675158,False,categorical
device_count,3,0.015345268542199489,0.02038216560509554,False,numeric_as_categorical
device_cnt,3,0.015345268542199489,0.02038216560509554,False,numeric_as_categorical
emulator_any,2,0.017142857142857144,0.02,False,numeric_as_categorical
education,4,0.00558659217877095,0.01997780244173141,False,categorical
brand_nunique,3,0.012345679012345678,0.019758507135016465,False,numeric_as_categorical
marital_status,3,0.009174311926605505,0.01954120645709431,False,categorical
has_credit_card,2,0.01675977653631285,0.01791713325867861,False,numeric_as_categorical
gender,2,0.01633045148895293,0.01791277258566978,False,categorical
channel,3,0.013761467889908258,0.017846153846153845,False,categorical
device_change_90d,2,0.013513513513513514,0.01759391345696624,False,numeric_as_categorical
