user_id,bureau_score,delinq_12m,credit_utilization,open_accounts,inquiry_3m
1,572.0,0,0.09,8,0
2,575.0,1,0.51,6,0
3,613.0,0,0.37,0,0
4,680.0,0,0.24,6,4
5,660.0,0,0.64,1,3
6,496.0,0,0.03,4,2
7,661.0,0,0.17,10,0
8,709.0,0,0.08,8,2
9,656.0,0,0.2,2,1
10,407.0,0,0.17,1,5
11,621.0,0,0.21,3,0
12,711.0,1,0.34,7,0
13,564.0,1,0.19,3,0
14,832.0,1,0.05,6,3
15,426.0,0,0.24,5,2
16,612.0,0,0.38,0,0
17,658.0,0,0.29,7,0
18,614.0,3,0.66,9,1
19,612.0,0,0.34,5,1
20,517.0,0,0.24,6,0
21,554.0,0,0.34,7,3
22,646.0,5,0.38,6,2
23,431.0,0,0.11,3,1
24,672.0,0,0.41,6,0
25,591.0,0,0.06,6,1
26,644.0,2,0.74,10,1
27,668.0,0,0.06,10,4
28,850.0,3,0.1,6,0
29,712.0,3,0.37,9,2
30,504.0,1,0.16,8,1
31,773.0,0,0.04,4,0
32,383.0,4,0.54,5,3
33,565.0,0,0.37,6,1
34,614.0,0,0.5,8,0
35,574.0,0,0.06,1,2
36,623.0,1,0.24,8,1
37,586.0,3,0.17,10,1
38,703.0,4,0.66,10,0
39,561.0,0,0.23,0,3
40,591.0,0,0.12,6,4
41,742.0,2,0.37,5,4
42,677.0,0,0.05,3,1
43,586.0,0,0.24,6,0
44,638.0,0,0.2,9,1
45,750.0,0,0.09,0,3
46,489.0,0,0.35,7,6
47,513.0,1,0.04,2,1
48,554.0,4,0.25,6,0
49,617.0,2,0.44,8,1
50,677.0,0,0.39,8,1
51,539.0,0,0.26,1,3
52,525.0,0,0.82,5,4
53,495.0,0,0.29,7,0
54,525.0,0,0.13,7,0
55,548.0,2,0.29,4,3
56,427.0,0,0.42,10,1
57,555.0,0,0.48,2,0
58,516.0,0,0.35,7,0
59,587.0,0,0.29,2,0
60,736.0,0,0.57,8,0
61,473.0,1,0.23,4,0
62,681.0,0,0.25,7,5
63,733.0,0,0.33,1,1
64,677.0,1,0.25,7,3
65,627.0,0,0.37,6,1
66,705.0,0,0.24,7,4
67,651.0,0,0.18,10,1
68,689.0,0,0.51,10,0
69,609.0,4,0.13,5,2
70,515.0,2,0.43,7,1
71,693.0,0,0.44,1,0
72,809.0,0,0.26,0,0
73,573.0,0,0.19,4,0
74,602.0,0,0.57,2,0
75,609.0,0,0.5,5,0
76,482.0,0,0.6,3,1
77,532.0,0,0.05,4,0
78,624.0,0,0.16,7,2
79,592.0,0,0.05,4,1
80,601.0,2,0.39,1,0
81,602.0,1,0.41,5,1
82,591.0,1,0.31,9,2
83,539.0,0,0.43,8,1
84,635.0,0,0.38,1,1
85,626.0,0,0.09,9,0
86,530.0,0,0.34,9,2
87,633.0,3,0.44,7,2
88,550.0,0,0.16,10,1
89,652.0,0,0.42,6,1
90,597.0,0,0.42,10,0
91,632.0,0,0.17,1,2
92,614.0,2,0.28,0,3
93,595.0,0,0.25,4,0
94,626.0,1,0.27,5,4
95,667.0,0,0.8,6,0
96,610.0,0,0.41,8,0
97,608.0,0,0.37,8,2
98,572.0,0,0.3,10,1
99,455.0,0,0.21,3,5
100,603.0,0,0.34,5,1
101,499.0,0,0.08,6,2
102,555.0,1,0.08,2,0
103,531.0,0,0.59,6,1
104,543.0,0,0.26,3,2
105,548.0,0,0.38,4,0
106,639.0,2,0.57,4,1
107,627.0,2,0.06,5,4
108,609.0,0,0.22,8,0
109,697.0,0,0.17,0,1
110,845.0,0,0.48,10,1
111,641.0,0,0.34,2,3
112,673.0,1,0.67,5,0
