device_id,user_id,first_seen_dt,os,brand,emulator_flag,rooted_flag,device_risk_score,ip_risk_level,geo_consistent_flag
1,1,2024-04-01 03:40:36,android,apple,0,0,40,1,1
2,2,2025-09-21 23:42:35,android,xiaomi,0,0,35,1,1
3,2,2025-10-16 23:42:35,android,vivo,0,0,0,1,1
4,3,2025-04-15 20:05:34,android,oppo,0,0,53,1,0
5,4,2025-02-22 09:09:00,android,xiaomi,0,0,45,1,1
6,4,2025-01-04 09:09:00,android,vivo,0,1,20,1,1
7,5,2025-01-18 02:25:36,android,huawei,0,0,46,3,1
8,6,2025-12-02 18:38:07,android,other,0,0,6,1,1
9,6,2025-11-22 18:38:07,android,oppo,0,0,16,3,1
10,7,2024-06-19 17:46:03,android,oppo,0,0,69,2,1
11,8,2025-09-05 01:53:16,android,other,0,0,10,4,1
12,9,2024-08-12 01:44:46,android,apple,0,0,20,2,1
13,9,2024-05-19 01:44:46,android,vivo,0,0,78,4,1
14,10,2024-06-09 17:59:13,android,vivo,0,0,0,5,1
15,11,2025-04-07 07:54:42,ios,oppo,0,0,27,2,1
16,11,2025-03-01 07:54:42,android,other,0,0,34,3,1
17,11,2025-03-20 07:54:42,ios,samsung,0,0,3,1,1
18,12,2026-02-05 04:54:12,android,apple,0,0,48,2,1
19,12,2026-02-05 04:54:12,android,oppo,0,0,55,2,1
20,13,2025-10-04 02:22:53,ios,xiaomi,0,0,27,1,0
21,13,2025-06-22 02:22:53,android,xiaomi,0,0,10,1,1
22,13,2025-08-30 02:22:53,android,vivo,0,0,59,1,1
23,14,2025-07-16 15:10:03,ios,xiaomi,0,0,57,1,1
24,15,2025-09-04 18:12:06,ios,xiaomi,0,0,52,2,1
25,16,2025-08-25 19:50:47,android,xiaomi,0,0,53,1,1
26,16,2025-11-11 19:50:47,android,xiaomi,0,0,41,1,0
27,17,2025-04-30 15:43:46,android,vivo,0,0,60,2,1
28,18,2024-04-08 12:33:03,ios,oppo,0,0,66,1,1
29,18,2024-05-08 12:33:03,android,xiaomi,0,0,69,3,0
30,19,2025-09-21 00:23:20,ios,other,0,0,32,1,1
31,19,2025-10-26 00:23:20,ios,huawei,0,0,52,2,1
32,19,2025-12-22 00:23:20,android,oppo,0,0,42,1,1
33,20,2025-03-03 18:45:41,android,oppo,0,0,33,1,1
34,20,2024-11-30 18:45:41,android,vivo,0,1,87,3,1
35,20,2024-11-29 18:45:41,android,other,0,0,23,1,1
36,21,2025-01-18 06:09:56,ios,apple,0,0,39,2,1
37,21,2024-12-23 06:09:56,android,xiaomi,0,0,58,1,0
38,22,2024-11-19 16:22:52,android,vivo,0,0,25,1,1
39,23,2024-07-07 06:16:10,ios,samsung,0,0,25,1,1
40,23,2024-05-12 06:16:10,ios,oppo,0,0,37,1,1
41,24,2026-01-16 12:55:21,ios,xiaomi,0,0,40,1,1
42,25,2025-11-01 13:03:42,ios,oppo,0,0,39,1,1
43,26,2025-06-06 00:31:00,android,vivo,0,1,5,4,1
44,26,2025-06-09 00:31:00,ios,xiaomi,0,0,51,1,1
45,26,2025-07-11 00:31:00,android,xiaomi,0,0,59,5,1
46,27,2024-11-18 18:17:58,ios,samsung,0,0,53,1,1
47,27,2025-02-04 18:17:58,android,oppo,0,0,70,2,1
48,27,2024-11-05 18:17:58,android,oppo,0,0,47,2,1
49,28,2025-09-05 14:47:00,android,xiaomi,0,0,24,2,1
50,29,2025-03-20 03:55:05,android,apple,0,0,26,1,1
51,29,2025-05-09 03:55:05,ios,apple,0,0,34,1,1
52,30,2025-01-15 16:37:00,android,samsung,0,0,43,1,1
53,30,2025-03-03 16:37:00,android,vivo,0,0,48,1,1
54,31,2025-03-07 20:03:04,ios,huawei,0,0,41,1,1
55,31,2025-02-14 20:03:04,android,samsung,0,0,21,3,1
56,32,2024-07-28 21:13:20,android,xiaomi,0,0,35,1,0
57,32,2024-06-11 21:13:20,android,apple,0,0,40,2,0
58,32,2024-09-19 21:13:20,android,xiaomi,0,0,43,4,1
59,33,2024-04-30 06:13:16,android,other,0,0,41,1,0
60,33,2024-04-23 06:13:16,ios,apple,0,0,44,2,1
61,33,2024-03-06 06:13:16,android,xiaomi,0,0,36,2,1
62,34,2025-03-24 20:19:31,android,oppo,0,0,30,2,1
63,35,2025-11-07 03:49:48,android,samsung,1,0,43,2,1
64,36,2024-03-29 14:04:41,ios,xiaomi,1,0,31,1,1
65,36,2024-02-20 14:04:41,android,oppo,0,0,36,1,1
66,36,2024-05-10 14:04:41,android,oppo,0,0,63,1,1
67,37,2025-12-14 13:15:48,android,vivo,0,0,58,2,1
68,37,2025-12-01 13:15:48,android,vivo,0,0,35,3,1
69,38,2025-10-11 04:05:53,android,vivo,0,0,34,1,1
70,38,2025-11-13 04:05:53,ios,apple,0,0,17,1,1
71,39,2024-08-31 00:49:47,android,vivo,0,1,49,4,1
72,39,2024-09-08 00:49:47,android,xiaomi,0,0,13,1,1
73,39,2024-10-25 00:49:47,android,samsung,0,0,51,2,1
74,40,2025-04-02 02:45:36,android,xiaomi,0,0,69,3,1
75,40,2025-05-07 02:45:36,ios,vivo,0,0,17,5,1
76,40,2025-07-10 02:45:36,android,apple,1,0,71,3,1
77,41,2024-06-24 14:48:48,android,other,0,0,46,2,0
78,41,2024-07-05 14:48:48,android,vivo,0,0,40,1,1
79,42,2025-10-12 09:41:49,android,oppo,0,0,28,4,1
80,42,2025-07-16 09:41:49,android,oppo,0,0,74,2,1
81,42,2025-08-02 09:41:49,ios,huawei,0,0,38,1,1
82,43,2025-06-12 09:09:44,android,vivo,0,0,33,2,1
83,43,2025-07-11 09:09:44,android,xiaomi,0,0,45,5,1
84,44,2024-09-26 19:17:41,android,xiaomi,0,1,36,1,1
85,44,2024-10-01 19:17:41,ios,apple,0,0,33,4,1
86,44,2024-11-04 19:17:41,ios,xiaomi,0,0,55,1,1
87,45,2024-04-14 13:57:30,android,oppo,0,0,43,2,0
88,45,2024-04-12 13:57:30,android,huawei,0,0,32,1,1
89,46,2026-01-10 14:37:45,android,apple,0,0,17,2,1
90,47,2024-12-16 08:26:41,android,huawei,0,0,33,1,1
91,48,2026-01-16 23:28:55,android,vivo,0,0,71,1,1
92,48,2026-01-07 23:28:55,android,huawei,0,0,67,3,1
93,49,2025-06-03 21:08:27,android,huawei,0,1,0,1,1
94,49,2025-05-25 21:08:27,ios,huawei,0,0,29,1,1
95,49,2025-08-06 21:08:27,android,vivo,0,0,55,2,0
96,50,2025-10-14 05:16:43,android,xiaomi,0,0,35,1,1
97,50,2025-08-05 05:16:43,ios,apple,0,0,42,2,1
98,51,2025-09-28 17:26:17,android,samsung,0,0,22,1,1
99,51,2025-09-05 17:26:17,android,apple,0,0,20,1,1
100,51,2025-06-30 17:26:17,android,huawei,0,0,24,1,1
101,52,2024-07-21 02:04:12,ios,oppo,0,0,39,1,1
102,52,2024-08-23 02:04:12,android,xiaomi,0,0,47,2,1
103,53,2024-10-04 15:38:01,android,vivo,0,0,35,1,1
104,53,2024-10-04 15:38:01,android,xiaomi,0,0,0,1,1
105,53,2024-09-23 15:38:01,android,other,0,0,65,5,1
106,54,2024-12-24 16:57:07,android,xiaomi,0,0,38,1,1
107,54,2024-12-24 16:57:07,android,vivo,0,0,47,1,1
108,54,2025-03-02 16:57:07,ios,huawei,1,0,59,1,1
109,55,2025-01-14 09:18:28,android,vivo,0,0,62,2,1
110,55,2025-04-09 09:18:28,ios,samsung,0,0,76,2,0
111,55,2024-12-31 09:18:28,ios,other,0,0,30,4,1
112,56,2024-02-10 23:26:31,ios,huawei,0,0,80,2,1
113,56,2024-05-11 23:26:31,android,oppo,0,0,41,3,1
114,57,2025-02-28 23:53:51,android,vivo,0,0,38,1,1
115,57,2025-05-13 23:53:51,android,vivo,0,0,51,1,1
116,58,2024-06-02 15:09:06,android,xiaomi,0,0,16,1,1
117,58,2024-07-01 15:09:06,android,apple,0,0,48,1,1
118,59,2025-10-03 15:56:45,android,oppo,0,0,81,3,1
119,59,2025-07-15 15:56:45,android,apple,0,1,51,1,1
120,59,2025-09-07 15:56:45,android,huawei,0,0,34,1,1
121,60,2025-06-26 15:01:03,android,oppo,0,0,67,1,1
122,60,2025-05-31 15:01:03,android,xiaomi,0,0,29,1,1
123,61,2025-11-11 10:41:15,android,huawei,0,0,54,1,1
124,62,2025-09-17 16:13:58,android,huawei,0,0,41,3,1
125,63,2024-11-24 15:34:45,android,apple,0,0,32,1,1
126,64,2025-12-02 06:46:13,android,xiaomi,0,0,48,1,1
127,64,2026-03-21 06:46:13,android,other,0,0,28,1,1
128,65,2024-12-06 22:05:53,android,oppo,0,0,30,1,0
129,65,2025-02-11 22:05:53,android,oppo,0,0,51,3,1
130,65,2024-10-20 22:05:53,android,oppo,0,0,75,1,1
131,66,2024-10-31 20:27:36,android,oppo,0,0,48,5,1
132,67,2025-12-29 00:59:11,android,oppo,0,0,57,1,1
133,67,2025-10-29 00:59:11,android,oppo,0,0,53,1,1
134,67,2025-12-13 00:59:11,android,xiaomi,0,0,57,2,1
135,68,2025-01-15 10:27:14,android,vivo,0,1,18,1,1
136,68,2024-12-25 10:27:14,android,apple,0,0,70,2,1
137,69,2024-03-14 17:31:57,android,xiaomi,0,0,30,3,1
138,70,2024-12-27 18:37:04,android,apple,0,0,72,1,1
139,71,2025-10-22 20:18:47,ios,apple,0,0,68,1,1
140,72,2024-09-01 07:32:17,ios,oppo,0,0,41,2,1
141,72,2024-05-21 07:32:17,ios,apple,0,0,16,1,0
142,72,2024-07-20 07:32:17,ios,oppo,0,0,52,1,1
143,73,2024-12-30 22:43:07,ios,xiaomi,1,0,55,4,1
144,74,2024-07-01 20:13:29,android,apple,0,0,23,1,1
145,75,2025-08-26 03:05:53,ios,oppo,0,0,59,4,1
146,75,2025-05-18 03:05:53,ios,huawei,0,0,69,1,1
147,76,2025-03-15 06:21:01,android,apple,0,0,24,2,1
148,76,2025-02-06 06:21:01,ios,xiaomi,0,0,10,1,1
149,77,2024-12-18 01:02:23,android,xiaomi,0,0,59,3,1
150,77,2024-10-09 01:02:23,android,vivo,0,0,68,1,0
151,78,2024-09-11 15:27:06,android,huawei,0,0,3,1,1
152,78,2024-06-09 15:27:06,ios,samsung,0,0,72,1,1
153,79,2025-03-26 02:02:17,ios,oppo,0,0,19,2,1
154,79,2025-03-03 02:02:17,android,xiaomi,0,0,79,1,1
155,80,2025-05-29 23:08:28,android,oppo,0,0,14,1,1
156,80,2025-07-20 23:08:28,android,vivo,0,0,33,5,1
157,81,2026-02-22 10:09:46,android,other,0,0,51,3,1
158,81,2025-11-29 10:09:46,android,huawei,0,0,73,3,1
159,82,2024-12-13 02:54:05,android,samsung,0,0,31,1,1
160,82,2025-02-07 02:54:05,android,oppo,0,0,1,1,1
161,83,2024-05-25 07:15:23,ios,apple,0,0,50,2,1
162,83,2024-05-16 07:15:23,android,oppo,0,0,60,4,0
163,83,2024-05-26 07:15:23,android,oppo,0,1,9,3,1
164,84,2025-10-06 20:31:19,ios,vivo,0,0,42,2,1
165,84,2025-11-06 20:31:19,android,xiaomi,0,0,35,1,1
166,84,2025-11-26 20:31:19,android,vivo,0,0,62,1,1
167,85,2025-07-21 17:28:14,android,oppo,0,0,19,4,1
168,86,2025-06-03 04:38:40,android,other,0,0,72,2,1
