column,dataset,value,count,rate
channel,train,app,1625,0.6989247311827957
channel,train,web,482,0.20731182795698924
channel,train,partner,218,0.09376344086021506
channel,valid,app,408,0.7010309278350515
channel,valid,web,108,0.18556701030927836
channel,valid,partner,66,0.1134020618556701
product_type,train,short_term,1256,0.5402150537634408
product_type,train,installment,1069,0.45978494623655913
product_type,valid,short_term,323,0.5549828178694158
product_type,valid,installment,259,0.44501718213058417
gender,train,M,1284,0.552258064516129
gender,train,F,1041,0.447741935483871
gender,valid,F,299,0.5137457044673539
gender,valid,M,283,0.48625429553264604
education,train,college,901,0.3875268817204301
education,train,high,821,0.35311827956989245
education,train,middle,358,0.15397849462365593
education,train,graduate,245,0.1053763440860215
education,valid,college,244,0.41924398625429554
education,valid,high,197,0.3384879725085911
education,valid,middle,97,0.16666666666666666
education,valid,graduate,44,0.07560137457044673
marital_status,train,married,1177,0.5062365591397849
marital_status,train,single,1039,0.44688172043010754
marital_status,train,divorced,109,0.04688172043010753
marital_status,valid,married,300,0.5154639175257731
marital_status,valid,single,262,0.45017182130584193
marital_status,valid,divorced,20,0.03436426116838488
company_type,train,private,1134,0.48774193548387096
company_type,train,self_employed,597,0.2567741935483871
company_type,train,state,352,0.1513978494623656
company_type,train,unemployed,242,0.10408602150537634
company_type,valid,private,288,0.4948453608247423
company_type,valid,self_employed,159,0.27319587628865977
company_type,valid,state,83,0.14261168384879724
company_type,valid,unemployed,52,0.08934707903780069
requested_term,train,30,323,0.1389247311827957
requested_term,train,7,323,0.1389247311827957
requested_term,train,21,310,0.13333333333333333
requested_term,train,14,300,0.12903225806451613
requested_term,train,60,293,0.12602150537634407
requested_term,train,90,263,0.11311827956989247
requested_term,train,120,262,0.11268817204301075
requested_term,train,180,251,0.10795698924731183
requested_term,valid,21,86,0.14776632302405499
requested_term,valid,7,81,0.13917525773195877
requested_term,valid,14,79,0.13573883161512026
requested_term,valid,30,77,0.1323024054982818
requested_term,valid,60,75,0.12886597938144329
requested_term,valid,180,66,0.1134020618556701
requested_term,valid,90,63,0.10824742268041238
requested_term,valid,120,55,0.09450171821305842
login_7d,train,5,335,0.14408602150537633
login_7d,train,4,298,0.1281720430107527
login_7d,train,3,284,0.1221505376344086
login_7d,train,6,254,0.109247311827957
login_7d,train,2,229,0.09849462365591398
login_7d,train,0,217,0.09333333333333334
login_7d,train,7,216,0.09290322580645162
login_7d,train,8,155,0.06666666666666667
login_7d,train,1,142,0.0610752688172043
login_7d,train,9,85,0.03655913978494624
login_7d,valid,6,81,0.13917525773195877
login_7d,valid,4,78,0.13402061855670103
login_7d,valid,5,76,0.13058419243986255
login_7d,valid,3,65,0.11168384879725086
login_7d,valid,7,56,0.09621993127147767
login_7d,valid,2,50,0.0859106529209622
login_7d,valid,0,47,0.08075601374570447
login_7d,valid,8,45,0.07731958762886598
login_7d,valid,1,40,0.06872852233676977
login_7d,valid,9,20,0.03436426116838488
device_change_90d,train,0,2103,0.9045161290322581
device_change_90d,train,1,222,0.09548387096774194
device_change_90d,valid,0,531,0.9123711340206185
device_change_90d,valid,1,51,0.08762886597938144
city_tier,train,3,698,0.3002150537634409
city_tier,train,4,584,0.2511827956989247
city_tier,train,2,572,0.2460215053763441
city_tier,train,1,243,0.10451612903225807
city_tier,train,5,228,0.09806451612903226
city_tier,valid,3,191,0.3281786941580756
city_tier,valid,2,149,0.25601374570446733
city_tier,valid,4,133,0.22852233676975944
city_tier,valid,1,55,0.09450171821305842
city_tier,valid,5,54,0.09278350515463918
residence_years,train,2,234,0.10064516129032258
residence_years,train,5,227,0.09763440860215054
residence_years,train,8,225,0.0967741935483871
residence_years,train,4,220,0.09462365591397849
residence_years,train,3,213,0.09161290322580645
residence_years,train,0,210,0.09032258064516129
residence_years,train,6,207,0.08903225806451613
residence_years,train,7,204,0.08774193548387096
residence_years,train,9,203,0.08731182795698925
residence_years,train,1,195,0.08387096774193549
residence_years,valid,3,63,0.10824742268041238
residence_years,valid,5,58,0.09965635738831616
residence_years,valid,9,57,0.0979381443298969
residence_years,valid,6,56,0.09621993127147767
residence_years,valid,4,56,0.09621993127147767
residence_years,valid,7,56,0.09621993127147767
residence_years,valid,8,55,0.09450171821305842
