column,dtype,train_missing_rate,valid_missing_rate,psi_numeric,psi_categorical,psi_used,psi_source,missing_flag,psi_flag
apply_month,int64,0.0,0.0,8.377100472007092,8.155421993422992,8.155421993422992,categorical,False,True
register_days_to_apply,int64,0.0,0.0,4.399215583355325,,4.399215583355325,numeric,False,True
device_last_seen_days,int64,0.0,0.0,4.284911635948387,,4.284911635948387,numeric,False,True
device_first_seen_days,int64,0.0,0.0,4.2752105744913,,4.2752105744913,numeric,False,True
ip_risk_level_mean,float64,0.0,0.0,0.024752980666144647,0.04633887379055282,0.04633887379055282,categorical,False,False
emulator_rate,float64,0.0,0.0,0.008359408315774761,0.041625525098091115,0.041625525098091115,categorical,False,False
sms_cnt_7d,int64,0.0,0.0,0.03842252371299716,,0.03842252371299716,numeric,False,False
bureau_score,float64,0.0,0.0,0.029012894950707947,,0.029012894950707947,numeric,False,False
night_ratio,float64,0.0,0.0,0.02745921456246248,,0.02745921456246248,numeric,False,False
login_7d,int64,0.0,0.0,0.01420693923752188,0.027330363530776662,0.027330363530776662,categorical,False,False
device_risk_score_mean,float64,0.0,0.0,0.02641639946845323,,0.02641639946845323,numeric,False,False
device_risk_score_max,float64,0.0,0.0,0.025507001225686617,,0.025507001225686617,numeric,False,False
monthly_income,float64,0.0,0.0,0.025371571747022086,,0.025371571747022086,numeric,False,False
age,int64,0.0,0.0,0.023058673293849433,,0.023058673293849433,numeric,False,False
contact_count,int64,0.0,0.0,0.02184715828019587,,0.02184715828019587,numeric,False,False
app_install_cnt,int64,0.0,0.0,0.02141591816312117,,0.02141591816312117,numeric,False,False
ip_risk_level_max,float64,0.0,0.0,0.021083853434532937,0.021083853434532937,0.021083853434532937,categorical,False,False
apply_hour,int64,0.0,0.0,0.019984265226329755,,0.019984265226329755,numeric,False,False
login_30d,int64,0.0,0.0,0.018465970575695444,,0.018465970575695444,numeric,False,False
gender,object,0.0,0.0,,0.017477474039563283,0.017477474039563283,categorical,False,False
phone_age_months,int64,0.0,0.0,0.016620547274171674,,0.016620547274171674,numeric,False,False
education,object,0.0,0.0,,0.014006062835453591,0.014006062835453591,categorical,False,False
requested_amount,int64,0.0,0.0,0.013690578969777104,,0.013690578969777104,numeric,False,False
apply_dayofweek,int64,0.0,0.0,0.013175304253248468,0.013175304253248468,0.013175304253248468,categorical,False,False
delinq_12m,int64,0.0,0.0,0.00010812472006909422,0.013043670075092426,0.013043670075092426,categorical,False,False
open_accounts,int64,0.0,0.0,0.01154203686128093,0.013014066584883185,0.013014066584883185,categorical,False,False
residence_years,int64,0.0,0.0,0.012343440785122256,0.012419622722322757,0.012419622722322757,categorical,False,False
inquiry_3m,int64,0.0,0.0,0.00352806778484564,0.012082656883000973,0.012082656883000973,categorical,False,False
credit_utilization,float64,0.0,0.0,0.011290267209229444,,0.011290267209229444,numeric,False,False
emergency_contact_count,int64,0.0,0.0,0.009901946373382063,0.009901946373382063,0.009901946373382063,categorical,False,False
emulator_any,int64,0.0,0.0,0.008359408315774761,0.008359408315774761,0.008359408315774761,categorical,False,False
brand_nunique,int64,0.0,0.0,0.008009712593069087,0.008009712593069087,0.008009712593069087,categorical,False,False
city_tier,int64,0.0,0.0,0.006331735081738384,0.006331735081738384,0.006331735081738384,categorical,False,False
channel,object,0.0,0.0,,0.006150407070871465,0.006150407070871465,categorical,False,False
geo_consistent_rate,float64,0.0,0.0,0.003242194538508016,0.00596868871073168,0.00596868871073168,categorical,False,False
requested_term,int64,0.0,0.0,0.005893888542626256,0.005893888542626256,0.005893888542626256,categorical,False,False
android_share,float64,0.0,0.0,0.002326389325416421,0.004164656019206248,0.004164656019206248,categorical,False,False
marital_status,object,0.0,0.0,,0.004078867381602842,0.004078867381602842,categorical,False,False
company_type,object,0.0,0.0,,0.0038964832107342903,0.0038964832107342903,categorical,False,False
rooted_rate,float64,0.0,0.0,0.0006370804398245943,0.0033660367528524984,0.0033660367528524984,categorical,False,False
device_count,int64,0.0,0.0,0.002710554729726875,0.002710554729726875,0.002710554729726875,categorical,False,False
device_cnt,int64,0.0,0.0,0.002710554729726875,0.002710554729726875,0.002710554729726875,categorical,False,False
product_type,object,0.0,0.0,,0.0008803924482626239,0.0008803924482626239,categorical,False,False
device_change_90d,int64,0.0,0.0,0.0007422476576360148,0.0007422476576360148,0.0007422476576360148,categorical,False,False
rooted_any,int64,0.0,0.0,0.0006370804398245943,0.0006370804398245943,0.0006370804398245943,categorical,False,False
has_credit_card,int64,0.0,0.0,3.614693737182997e-06,3.614693737182997e-06,3.614693737182997e-06,categorical,False,False
