feature,dtype,nunique,missing_rate,top_ratio,skew,bin_type,iv,auc,auc_adj,low_iv,low_auc,low_unique,high_top_ratio,high_skew
channel,object,3,0.0,0.6989247311827957,,categorical,0.0013626164609415869,0.5148960612691466,0.5148960612691466,True,True,True,False,False
device_change_90d,int64,2,0.0,0.9045161290322581,2.754691713836593,numeric_as_categorical,0.0013776815952870022,0.48957877461706784,0.5104212253829321,True,True,True,False,False
has_credit_card,int64,2,0.0,0.6159139784946237,0.47694890651114885,numeric_as_categorical,0.001447271773266025,0.5080962800875274,0.5080962800875274,True,True,True,False,False
gender,object,2,0.0,0.552258064516129,,categorical,0.0018496695502535523,0.5115700218818381,0.5115700218818381,True,True,True,False,False
emulator_any,int64,2,0.0,0.978494623655914,6.601378635725608,numeric_as_categorical,0.008061081617740384,0.5017778993435449,0.5017778993435449,True,True,True,True,True
marital_status,object,3,0.0,0.5062365591397849,,categorical,0.016043264133235896,0.5388402625820569,0.5388402625820569,True,False,True,False,False
device_count,int64,3,0.0,0.33763440860215055,0.002384697204216056,numeric_as_categorical,0.016228789760507175,0.46669584245076584,0.5333041575492341,True,False,True,False,False
device_cnt,int64,3,0.0,0.33763440860215055,0.002384697204216056,numeric_as_categorical,0.016228789760507175,0.46669584245076584,0.5333041575492341,True,False,True,False,False
geo_consistent_rate,float64,5,0.0,0.8344086021505376,-2.8241000457393106,numeric_as_categorical,0.05715739474897526,0.49955142231947486,0.5004485776805252,False,True,False,False,False
login_30d,int64,51,0.0,0.04430107526881721,0.1904803233867392,numeric_binned,0.08214686679203811,0.4849288840262582,0.5150711159737418,False,True,False,False,False
emulator_rate,float64,5,0.0,0.978494623655914,8.886665555696556,numeric_as_categorical,0.10278909888002116,0.5020076586433261,0.5020076586433261,False,True,False,True,True
ip_risk_level_max,float64,5,0.0,0.2946236559139785,0.5554626916647055,numeric_as_categorical,0.10779040347413676,0.4975054704595186,0.5024945295404815,False,True,False,False,False
device_risk_score_max,float64,97,0.0,0.027096774193548386,-0.19324102177744745,numeric_binned,0.14085128163929608,0.49323851203501096,0.5067614879649891,False,True,False,False,False
sms_cnt_7d,int64,75,0.0,0.02967741935483871,0.10043707443675898,numeric_binned,0.14177120918325986,0.48919584245076586,0.5108041575492341,False,True,False,False,False
phone_age_months,int64,120,0.0,0.013333333333333334,-0.024644312386340947,numeric_binned,0.15777650382824662,0.4809956236323851,0.5190043763676149,False,True,False,False,False
credit_utilization,float64,89,0.0,0.028817204301075268,0.5061836545473808,numeric_binned,0.16003592547616816,0.4961816192560175,0.5038183807439824,False,True,False,False,False
