column,dtype,train_missing_rate,valid_missing_rate,train_nunique,valid_nunique
channel,object,0.0,0.0,3,3
device_risk_score_mean,float64,0.0,0.0,242,176
credit_utilization,float64,0.0,0.0,89,78
open_accounts,int64,0.0,0.0,11,11
inquiry_3m,int64,0.0,0.0,7,7
device_cnt,int64,0.0,0.0,3,3
brand_nunique,int64,0.0,0.0,3,3
emulator_any,int64,0.0,0.0,2,2
emulator_rate,float64,0.0,0.0,5,3
rooted_any,int64,0.0,0.0,2,2
rooted_rate,float64,0.0,0.0,5,5
device_risk_score_max,float64,0.0,0.0,97,89
product_type,object,0.0,0.0,2,2
ip_risk_level_mean,float64,0.0,0.0,15,14
ip_risk_level_max,float64,0.0,0.0,5,5
geo_consistent_rate,float64,0.0,0.0,5,5
android_share,float64,0.0,0.0,5,5
apply_hour,int64,0.0,0.0,24,24
apply_dayofweek,int64,0.0,0.0,7,7
apply_month,int64,0.0,0.0,12,5
register_days_to_apply,int64,0.0,0.0,903,402
device_first_seen_days,int64,0.0,0.0,910,425
delinq_12m,int64,0.0,0.0,6,5
bureau_score,float64,0.0,0.0,360,258
has_credit_card,int64,0.0,0.0,2,2
device_count,int64,0.0,0.0,3,3
requested_amount,int64,0.0,0.0,1819,539
requested_term,int64,0.0,0.0,8,8
login_7d,int64,0.0,0.0,15,15
login_30d,int64,0.0,0.0,51,47
night_ratio,float64,0.0,0.0,77,70
device_change_90d,int64,0.0,0.0,2,2
app_install_cnt,int64,0.0,0.0,110,96
sms_cnt_7d,int64,0.0,0.0,75,71
age,int64,0.0,0.0,38,38
gender,object,0.0,0.0,2,2
city_tier,int64,0.0,0.0,5,5
education,object,0.0,0.0,4,4
marital_status,object,0.0,0.0,3,3
residence_years,int64,0.0,0.0,11,11
company_type,object,0.0,0.0,4,4
monthly_income,float64,0.0,0.0,1489,502
phone_age_months,int64,0.0,0.0,120,119
contact_count,int64,0.0,0.0,445,316
emergency_contact_count,int64,0.0,0.0,5,5
device_last_seen_days,int64,0.0,0.0,910,422
