column,train_mean,valid_mean,train_std,valid_std,train_p50,valid_p50,train_p95,valid_p95,psi
apply_month,5.763010752688172,7.120274914089347,3.3777149419733874,1.2498404414610045,5.0,7.0,12.0,9.0,8.377100472007092
register_days_to_apply,-104.88860215053764,212.43127147766322,250.0638869728448,213.55635787236423,-107.0,220.0,311.7999999999997,537.7999999999997,4.399215583355325
device_last_seen_days,-180.6916129032258,135.1254295532646,252.6210620353006,215.07230439185903,-184.0,133.0,239.79999999999973,471.94999999999993,4.284911635948387
device_first_seen_days,-146.4683870967742,169.03092783505156,252.3508207146167,216.46469203369946,-148.0,175.5,270.7999999999997,496.8499999999998,4.2752105744913
sms_cnt_7d,30.031827956989247,29.77147766323024,14.478746438187773,15.289214501886557,30.0,30.0,55.0,55.0,0.03842252371299716
bureau_score,614.7324731182796,608.0395189003436,78.21122377393594,78.11151050980071,616.0,610.5,743.0,727.9499999999999,0.029012894950707947
night_ratio,0.2697720430107527,0.2798281786941581,0.1505297289711536,0.154335970431842,0.25,0.25,0.54,0.56,0.02745921456246248
device_risk_score_mean,38.948243727598566,38.41008018327606,15.108147379105478,14.972618903916086,39.0,38.0,63.0,62.974999999999966,0.02641639946845323
device_risk_score_max,48.44903225806451,48.40721649484536,18.59620760574813,18.548930022387395,49.0,49.0,78.0,77.94999999999993,0.025507001225686617
monthly_income,4117.07311827957,4234.977663230241,1483.4141705417208,1578.5279143672203,3873.0,3905.0,6803.799999999998,7217.549999999994,0.025371571747022086
ip_risk_level_mean,1.866810035842294,1.9473081328751431,0.8409377526199153,0.8976560544959169,1.6666666666666667,2.0,3.3333333333333335,3.6583333333333217,0.024752980666144647
age,36.54021505376344,35.970790378006875,10.767642327652089,10.805151400719557,36.0,36.0,53.0,53.0,0.023058673293849433
contact_count,275.3264516129032,273.03951890034364,131.22645223272517,128.39921401699166,272.0,280.5,478.0,470.94999999999993,0.02184715828019587
app_install_cnt,59.66236559139785,58.24570446735395,20.008001379108887,20.729379329903818,59.0,58.0,93.0,95.89999999999986,0.02141591816312117
ip_risk_level_max,2.3496774193548386,2.508591065292096,1.1815987772605514,1.2593587996902276,2.0,2.0,5.0,5.0,0.021083853434532937
apply_hour,11.492903225806451,11.288659793814434,6.967688300358861,6.804562754247137,12.0,11.0,22.0,22.0,0.019984265226329755
login_30d,19.229247311827958,19.060137457044675,9.58499461927137,9.632748144435185,19.0,19.0,35.0,35.94999999999993,0.018465970575695444
phone_age_months,60.473118279569896,61.66838487972509,34.577157913155936,35.02109023491871,61.0,64.0,114.0,116.0,0.016620547274171674
login_7d,4.530322580645161,4.661512027491409,2.7966903431096743,2.78683834005312,4.0,5.0,9.0,9.0,0.01420693923752188
requested_amount,2788.147956989247,2720.774914089347,1285.5739603505212,1316.9140801570593,2815.0,2709.5,4794.799999999999,4786.499999999999,0.013690578969777104
apply_dayofweek,3.015483870967742,2.9329896907216493,2.006813113598523,2.0342957092310288,3.0,3.0,6.0,6.0,0.013175304253248468
residence_years,4.9393548387096775,5.11340206185567,3.1122467154792237,3.0306851426027395,5.0,5.0,10.0,10.0,0.012343440785122256
open_accounts,4.962150537634408,4.9312714776632305,3.108665173313577,3.1374839067704547,5.0,5.0,10.0,10.0,0.01154203686128093
credit_utilization,0.3282021505376344,0.3286082474226804,0.17692594621162128,0.1796169795611345,0.31,0.32,0.65,0.6494999999999993,0.011290267209229444
emergency_contact_count,2.9720430107526883,3.008591065292096,1.4009436817824676,1.4377244909935456,3.0,3.0,5.0,5.0,0.009901946373382063
emulator_any,0.021505376344086023,0.010309278350515464,0.1450929003584309,0.10109677654117884,0.0,0.0,0.0,0.0,0.008359408315774761
emulator_rate,0.01089605734767025,0.00429553264604811,0.08123158511907017,0.04296647417614639,0.0,0.0,0.0,0.0,0.008359408315774761
brand_nunique,1.8172043010752688,1.8625429553264605,0.7534521320561177,0.7386588726641232,2.0,2.0,3.0,3.0,0.008009712593069087
city_tier,2.992258064516129,2.9690721649484537,1.1436911897469781,1.1112345238068768,3.0,3.0,5.0,5.0,0.006331735081738384
requested_term,60.443440860215055,59.17353951890034,55.2655917691495,55.6529303972828,30.0,30.0,180.0,180.0,0.005893888542626256
inquiry_3m,1.0193548387096774,1.0085910652920962,1.293125114291959,1.299382247420453,1.0,1.0,4.0,4.0,0.00352806778484564
geo_consistent_rate,0.9129032258064517,0.8957617411225657,0.22121166717428464,0.24663965004275187,1.0,1.0,1.0,1.0,0.003242194538508016
device_count,1.998709677419355,2.0412371134020617,0.8211375261994701,0.8224583330487276,2.0,2.0,3.0,3.0,0.002710554729726875
device_cnt,1.998709677419355,2.0412371134020617,0.8211375261994701,0.8224583330487276,2.0,2.0,3.0,3.0,0.002710554729726875
android_share,0.7863799283154123,0.7981099656357389,0.3216258925261672,0.3194921172385719,1.0,1.0,1.0,1.0,0.002326389325416421
device_change_90d,0.09548387096774194,0.08762886597938144,0.29394534237702574,0.28299762451656096,0.0,0.0,1.0,1.0,0.0007422476576360148
rooted_rate,0.04508960573476702,0.0483963344788087,0.16380327983896845,0.170204296719689,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0006370804398245943
rooted_any,0.08559139784946236,0.09278350515463918,0.27981991982977966,0.29037838310192904,0.0,0.0,1.0,1.0,0.0006370804398245943
delinq_12m,0.30193548387096775,0.28865979381443296,0.6954614641800494,0.6631499891856504,0.0,0.0,2.0,2.0,0.00010812472006909422
has_credit_card,0.38408602150537635,0.38316151202749144,0.48648303290684125,0.4865753428097361,0.0,0.0,1.0,1.0,3.614693737182997e-06
