channel,product_type,requested_amount,requested_term,login_7d,login_30d,night_ratio,device_change_90d,app_install_cnt,sms_cnt_7d,age,gender,city_tier,education,marital_status,residence_years,company_type,monthly_income,phone_age_months,contact_count,emergency_contact_count,device_count,has_credit_card,bureau_score,delinq_12m,credit_utilization,open_accounts,inquiry_3m,device_cnt,brand_nunique,emulator_any,emulator_rate,rooted_any,rooted_rate,device_risk_score_mean,device_risk_score_max,ip_risk_level_mean,ip_risk_level_max,geo_consistent_rate,android_share,apply_hour,apply_dayofweek,y_dpd30_ever
app,installment,3025,90,3,30,0.45,0,77,17,40,F,2,college,married,10,private,3243.0,79,209,4,2,0,606.0,1,0.39,9,4,2,2,0,0.0,0,0.0,40.5,42.0,1.5,2.0,1.0,0.5,6,5,0
web,short_term,2480,30,1,19,0.36,0,75,22,22,M,3,college,single,3,private,2227.0,104,403,2,1,0,676.0,0,0.42,6,0,1,1,0,0.0,0,0.0,54.0,54.0,3.0,3.0,1.0,1.0,17,2,0
web,installment,2042,90,3,20,0.25,0,45,25,43,F,2,college,divorced,0,self_employed,2463.0,100,229,3,1,1,770.0,0,0.2,2,0,1,1,0,0.0,0,0.0,46.0,46.0,3.0,3.0,1.0,0.0,21,0,0
app,short_term,1746,21,3,27,0.38,0,40,41,45,M,1,middle,married,7,private,3024.0,99,357,2,1,0,736.0,0,0.58,0,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13,1,0
app,installment,2646,120,4,22,0.4,0,55,37,18,F,3,high,single,2,private,2687.0,74,214,5,1,0,629.0,0,0.26,2,0,1,1,0,0.0,1,1.0,53.0,53.0,1.0,1.0,1.0,1.0,12,2,0
app,short_term,4578,14,7,20,0.03,0,36,35,55,M,4,middle,married,2,self_employed,4514.0,62,442,2,3,1,716.0,0,0.36,5,1,3,3,0,0.0,0,0.0,34.333333333333336,39.0,1.6666666666666667,3.0,0.6666666666666666,0.3333333333333333,10,2,0
app,short_term,4762,14,0,22,0.38,0,49,28,55,F,3,college,married,10,private,6243.0,113,464,3,1,0,527.0,0,0.3,3,1,1,1,0,0.0,0,0.0,47.0,47.0,1.0,1.0,1.0,1.0,23,5,0
web,short_term,974,14,4,12,0.1,0,54,7,28,M,3,college,single,3,private,4992.0,5,144,5,3,0,633.0,0,0.29,9,0,3,3,0,0.0,0,0.0,32.666666666666664,39.0,2.0,3.0,1.0,0.6666666666666666,9,3,0
app,installment,887,90,7,20,0.43,0,62,25,27,M,3,high,single,7,unemployed,4838.0,74,186,4,2,1,621.0,0,0.14,8,0,2,2,0,0.0,0,0.0,40.0,61.0,2.0,3.0,1.0,1.0,3,3,0
app,installment,3510,120,3,17,0.18,0,59,16,47,M,3,middle,married,3,self_employed,5274.0,106,275,4,3,0,640.0,1,0.55,3,1,3,3,0,0.0,0,0.0,47.0,70.0,1.3333333333333333,2.0,1.0,0.6666666666666666,10,6,0
partner,installment,1042,60,9,27,0.29,0,66,45,50,F,2,college,married,1,self_employed,4270.0,7,209,5,3,0,550.0,0,0.34,9,0,3,3,0,0.0,0,0.0,45.0,51.0,2.6666666666666665,4.0,1.0,1.0,11,5,0
