risk_score_decile,dpd30_30d,dpd30_60d,dpd30_90d,dpd30_180d
1,0.023809523809523808,0.04421768707482993,0.08503401360544217,0.09863945578231292
2,0.006872852233676976,0.027491408934707903,0.03436426116838488,0.05154639175257732
3,0.0,0.0031847133757961785,0.009554140127388535,0.009554140127388535
4,0.0,0.007547169811320755,0.01509433962264151,0.022641509433962263
5,0.0,0.0,0.006825938566552901,0.020477815699658702
6,0.003355704697986577,0.006711409395973154,0.010067114093959731,0.013422818791946308
7,0.0,0.0,0.0,0.013651877133105802
8,0.0,0.010416666666666666,0.013888888888888888,0.027777777777777776
9,0.0,0.0,0.0,0.0035211267605633804
10,0.0,0.0,0.0,0.0
