loan_id,app_id,user_id,disburse_dt,principal,term_days,days_since_disburse,dpd_start_day,dpd_max_180d,paid_off_dt,chargeoff_dt,snapshot_dt,mob,dpd,dpd_bucket,is_active
1,1,1963,2025-08-19 18:49:12,1702,7,0,999,0,2025-08-29 18:49:12,,2025-08-19 18:49:12,0,0,M0,1
1,1,1963,2025-08-19 18:49:12,1702,7,30,999,0,2025-08-29 18:49:12,,2025-09-18 18:49:12,1,0,M0,0
1,1,1963,2025-08-19 18:49:12,1702,7,60,999,0,2025-08-29 18:49:12,,2025-10-18 18:49:12,2,0,M0,0
1,1,1963,2025-08-19 18:49:12,1702,7,90,999,0,2025-08-29 18:49:12,,2025-11-17 18:49:12,3,0,M0,0
1,1,1963,2025-08-19 18:49:12,1702,7,120,999,0,2025-08-29 18:49:12,,2025-12-17 18:49:12,4,0,M0,0
2,2,922,2024-12-23 06:31:57,3025,90,0,999,0,2025-03-28 06:31:57,,2024-12-23 06:31:57,0,0,M0,1
2,2,922,2024-12-23 06:31:57,3025,90,30,999,0,2025-03-28 06:31:57,,2025-01-22 06:31:57,1,0,M0,1
2,2,922,2024-12-23 06:31:57,3025,90,60,999,0,2025-03-28 06:31:57,,2025-02-21 06:31:57,2,0,M0,1
2,2,922,2024-12-23 06:31:57,3025,90,90,999,0,2025-03-28 06:31:57,,2025-03-23 06:31:57,3,0,M0,1
2,2,922,2024-12-23 06:31:57,3025,90,120,999,0,2025-03-28 06:31:57,,2025-04-22 06:31:57,4,0,M0,0
2,2,922,2024-12-23 06:31:57,3025,90,150,999,0,2025-03-28 06:31:57,,2025-05-22 06:31:57,5,0,M0,0
2,2,922,2024-12-23 06:31:57,3025,90,180,999,0,2025-03-28 06:31:57,,2025-06-21 06:31:57,6,0,M0,0
3,4,689,2025-10-12 13:51:31,2481,30,0,999,0,2025-11-17 13:51:31,,2025-10-12 13:51:31,0,0,M0,1
3,4,689,2025-10-12 13:51:31,2481,30,30,999,0,2025-11-17 13:51:31,,2025-11-11 13:51:31,1,0,M0,1
3,4,689,2025-10-12 13:51:31,2481,30,60,999,0,2025-11-17 13:51:31,,2025-12-11 13:51:31,2,0,M0,0
4,5,2570,2025-05-08 17:12:02,2480,30,0,95,30,2025-06-10 17:12:02,,2025-05-08 17:12:02,0,0,M0,1
4,5,2570,2025-05-08 17:12:02,2480,30,30,95,30,2025-06-10 17:12:02,,2025-06-07 17:12:02,1,0,M0,1
4,5,2570,2025-05-08 17:12:02,2480,30,60,95,30,2025-06-10 17:12:02,,2025-07-07 17:12:02,2,0,M0,0
4,5,2570,2025-05-08 17:12:02,2480,30,90,95,30,2025-06-10 17:12:02,,2025-08-06 17:12:02,3,0,M0,0
4,5,2570,2025-05-08 17:12:02,2480,30,120,95,30,2025-06-10 17:12:02,,2025-09-05 17:12:02,4,25,M1,0
4,5,2570,2025-05-08 17:12:02,2480,30,150,95,30,2025-06-10 17:12:02,,2025-10-05 17:12:02,5,30,M1,0
4,5,2570,2025-05-08 17:12:02,2480,30,180,95,30,2025-06-10 17:12:02,,2025-11-04 17:12:02,6,30,M1,0
5,7,4998,2024-02-08 21:02:27,2042,90,0,999,0,2024-05-15 21:02:27,,2024-02-08 21:02:27,0,0,M0,1
5,7,4998,2024-02-08 21:02:27,2042,90,30,999,0,2024-05-15 21:02:27,,2024-03-09 21:02:27,1,0,M0,1
5,7,4998,2024-02-08 21:02:27,2042,90,60,999,0,2024-05-15 21:02:27,,2024-04-08 21:02:27,2,0,M0,1
5,7,4998,2024-02-08 21:02:27,2042,90,90,999,0,2024-05-15 21:02:27,,2024-05-08 21:02:27,3,0,M0,1
5,7,4998,2024-02-08 21:02:27,2042,90,120,999,0,2024-05-15 21:02:27,,2024-06-07 21:02:27,4,0,M0,0
5,7,4998,2024-02-08 21:02:27,2042,90,150,999,0,2024-05-15 21:02:27,,2024-07-07 21:02:27,5,0,M0,0
5,7,4998,2024-02-08 21:02:27,2042,90,180,999,0,2024-05-15 21:02:27,,2024-08-06 21:02:27,6,0,M0,0
6,8,129,2024-10-17 13:50:22,1746,21,0,999,0,2024-11-14 13:50:22,,2024-10-17 13:50:22,0,0,M0,1
6,8,129,2024-10-17 13:50:22,1746,21,30,999,0,2024-11-14 13:50:22,,2024-11-16 13:50:22,1,0,M0,0
6,8,129,2024-10-17 13:50:22,1746,21,60,999,0,2024-11-14 13:50:22,,2024-12-16 13:50:22,2,0,M0,0
6,8,129,2024-10-17 13:50:22,1746,21,90,999,0,2024-11-14 13:50:22,,2025-01-15 13:50:22,3,0,M0,0
6,8,129,2024-10-17 13:50:22,1746,21,120,999,0,2024-11-14 13:50:22,,2025-02-14 13:50:22,4,0,M0,0
6,8,129,2024-10-17 13:50:22,1746,21,150,999,0,2024-11-14 13:50:22,,2025-03-16 13:50:22,5,0,M0,0
6,8,129,2024-10-17 13:50:22,1746,21,180,999,0,2024-11-14 13:50:22,,2025-04-15 13:50:22,6,0,M0,0
7,12,1101,2024-11-15 12:06:55,2646,120,0,4,25,2025-03-18 12:06:55,,2024-11-15 12:06:55,0,0,M0,1
7,12,1101,2024-11-15 12:06:55,2646,120,30,4,25,2025-03-18 12:06:55,,2024-12-15 12:06:55,1,25,M1,1
7,12,1101,2024-11-15 12:06:55,2646,120,60,4,25,2025-03-18 12:06:55,,2025-01-14 12:06:55,2,25,M1,1
7,12,1101,2024-11-15 12:06:55,2646,120,90,4,25,2025-03-18 12:06:55,,2025-02-13 12:06:55,3,25,M1,1
7,12,1101,2024-11-15 12:06:55,2646,120,120,4,25,2025-03-18 12:06:55,,2025-03-15 12:06:55,4,25,M1,1
7,12,1101,2024-11-15 12:06:55,2646,120,150,4,25,2025-03-18 12:06:55,,2025-04-14 12:06:55,5,25,M1,0
7,12,1101,2024-11-15 12:06:55,2646,120,180,4,25,2025-03-18 12:06:55,,2025-05-14 12:06:55,6,25,M1,0
8,15,4273,2025-03-12 10:45:35,4578,14,0,63,5,2025-04-03 10:45:35,,2025-03-12 10:45:35,0,0,M0,1
8,15,4273,2025-03-12 10:45:35,4578,14,30,63,5,2025-04-03 10:45:35,,2025-04-11 10:45:35,1,0,M0,0
8,15,4273,2025-03-12 10:45:35,4578,14,60,63,5,2025-04-03 10:45:35,,2025-05-11 10:45:35,2,0,M0,0
8,15,4273,2025-03-12 10:45:35,4578,14,90,63,5,2025-04-03 10:45:35,,2025-06-10 10:45:35,3,5,M1,0
8,15,4273,2025-03-12 10:45:35,4578,14,120,63,5,2025-04-03 10:45:35,,2025-07-10 10:45:35,4,5,M1,0
8,15,4273,2025-03-12 10:45:35,4578,14,150,63,5,2025-04-03 10:45:35,,2025-08-09 10:45:35,5,5,M1,0
8,15,4273,2025-03-12 10:45:35,4578,14,180,63,5,2025-04-03 10:45:35,,2025-09-08 10:45:35,6,5,M1,0
9,21,3931,2025-01-06 23:35:09,4762,14,0,999,0,2025-01-22 23:35:09,,2025-01-06 23:35:09,0,0,M0,1
9,21,3931,2025-01-06 23:35:09,4762,14,30,999,0,2025-01-22 23:35:09,,2025-02-05 23:35:09,1,0,M0,0
