loan_id,user_id,dpd_max_30d,dpd_max_60d,dpd_max_90d,dpd_max_180d,dpd30_ever_30d,dpd30_ever_60d,dpd30_ever,dpd30_ever_180d,chargeoff_dt,paid_off_dt
1,1963,0,0,0,0,0,0,0,0,,2025-08-29 18:49:12
2,922,0,0,0,0,0,0,0,0,,2025-03-28 06:31:57
3,689,0,0,0,0,0,0,0,0,,2025-11-17 13:51:31
4,2570,0,0,0,30,0,0,0,1,,2025-06-10 17:12:02
5,4998,0,0,0,0,0,0,0,0,,2024-05-15 21:02:27
6,129,0,0,0,0,0,0,0,0,,2024-11-14 13:50:22
7,1101,25,25,25,25,0,0,0,0,,2025-03-18 12:06:55
8,4273,0,0,5,5,0,0,0,0,,2025-04-03 10:45:35
9,3931,0,0,0,0,0,0,0,0,,2025-01-22 23:35:09
10,2099,0,0,0,0,0,0,0,0,,2024-05-30 09:04:02
11,1393,0,0,0,0,0,0,0,0,,2025-07-10 04:10:42
12,1192,0,0,0,0,0,0,0,0,,2024-11-12 03:51:33
13,3971,0,0,0,0,0,0,0,0,,2025-05-31 10:55:45
14,120,13,15,15,15,0,0,0,0,,2025-06-21 16:37:00
15,3504,0,0,0,0,0,0,0,0,,2024-11-24 11:08:36
16,1344,0,0,0,0,0,0,0,0,,2024-12-01 14:01:35
17,227,0,5,5,5,0,0,0,0,,2025-04-07 15:21:36
18,3703,0,0,0,0,0,0,0,0,,2026-01-11 22:28:31
19,2590,0,0,0,0,0,0,0,0,,2025-07-26 11:26:21
20,4769,0,5,5,5,0,0,0,0,,2024-11-15 15:00:36
21,63,1,5,5,5,0,0,0,0,,2024-05-20 01:42:49
22,4699,7,25,25,25,0,0,0,0,,2024-07-21 18:14:24
23,618,0,0,0,0,0,0,0,0,,2025-06-09 03:31:23
24,3902,0,0,0,0,0,0,0,0,,2025-02-04 13:44:45
25,4731,0,0,0,0,0,0,0,0,,2025-01-26 06:56:50
26,4380,0,0,0,0,0,0,0,0,,2025-01-19 09:12:50
