loan_id,app_id,user_id,disburse_dt,principal,term_days,apr,first_due_dt
1,1,1963,2025-08-19 18:49:12,1702,7,0.222,2025-08-27 18:49:12
2,2,922,2024-12-23 06:31:57,3025,90,0.194,2025-01-21 06:31:57
3,4,689,2025-10-12 13:51:31,2481,30,0.239,2025-10-26 13:51:31
4,5,2570,2025-05-08 17:12:02,2480,30,0.341,2025-05-22 17:12:02
5,7,4998,2024-02-08 21:02:27,2042,90,0.299,2024-03-08 21:02:27
6,8,129,2024-10-17 13:50:22,1746,21,0.148,2024-10-29 13:50:22
7,12,1101,2024-11-15 12:06:55,2646,120,0.317,2024-12-22 12:06:55
8,15,4273,2025-03-12 10:45:35,4578,14,0.175,2025-03-22 10:45:35
9,21,3931,2025-01-06 23:35:09,4762,14,0.242,2025-01-16 23:35:09
10,22,2099,2024-05-12 09:04:02,974,14,0.228,2024-05-22 09:04:02
11,24,1393,2025-06-27 04:10:42,1697,7,0.217,2025-07-05 04:10:42
12,25,1192,2024-08-08 03:51:33,887,90,0.248,2024-09-06 03:51:33
13,27,3971,2025-01-27 10:55:45,3510,120,0.319,2025-03-05 10:55:45
14,31,120,2025-06-04 16:37:00,4716,14,0.192,2025-06-14 16:37:00
15,32,3504,2024-09-16 11:08:36,1042,60,0.208,2024-10-08 11:08:36
16,33,1344,2024-10-27 14:01:35,3378,30,0.245,2024-11-10 14:01:35
17,35,227,2024-10-09 15:21:36,675,180,0.196,2024-11-30 15:21:36
18,40,3703,2025-11-12 22:28:31,1393,60,0.314,2025-12-04 22:28:31
19,42,2590,2025-05-26 11:26:21,1930,60,0.215,2025-06-17 11:26:21
20,43,4769,2024-08-06 15:00:36,1005,90,0.213,2024-09-04 15:00:36
21,44,63,2024-05-10 01:42:49,1538,7,0.204,2024-05-18 01:42:49
22,46,4699,2024-06-25 18:14:24,664,21,0.292,2024-07-07 18:14:24
23,48,618,2025-03-01 03:31:23,2069,90,0.207,2025-03-30 03:31:23
24,50,3902,2024-12-23 13:44:45,2315,30,0.215,2025-01-06 13:44:45
25,52,4731,2025-01-05 06:56:50,2400,7,0.227,2025-01-13 06:56:50
26,53,4380,2024-12-25 09:12:50,2649,14,0.253,2025-01-04 09:12:50
27,54,3643,2024-12-23 10:21:35,3150,90,0.224,2025-01-21 10:21:35
28,55,4620,2025-01-02 12:04:00,1942,7,0.224,2025-01-10 12:04:00
29,58,1402,2024-03-26 04:35:09,1825,7,0.295,2024-04-03 04:35:09
30,59,1352,2025-08-04 08:04:40,4538,90,0.349,2025-09-02 08:04:40
