app_id,user_id,apply_dt,channel,product_type,requested_amount,requested_term,risk_score,decision,approve_dt,approved_amount,approved_term,login_7d,login_30d,night_ratio,device_change_90d,app_install_cnt,sms_cnt_7d,register_dt,age,gender,city_tier,education,marital_status,residence_years,company_type,monthly_income,phone_age_months,contact_count,emergency_contact_count,device_count,has_credit_card,bureau_score,delinq_12m,credit_utilization,open_accounts,inquiry_3m,device_cnt,brand_nunique,first_seen_min,first_seen_max,emulator_any,emulator_rate,rooted_any,rooted_rate,device_risk_score_mean,device_risk_score_max,ip_risk_level_mean,ip_risk_level_max,geo_consistent_rate,android_share,loan_id,disburse_dt,principal,term_days,apr,first_due_dt,dpd_max_30d,dpd_max_60d,dpd_max_90d,dpd_max_180d,dpd30_ever_30d,dpd30_ever_60d,dpd30_ever,dpd30_ever_180d,chargeoff_dt,paid_off_dt,loan_age_days,label_available,y_dpd30_ever
1,1963,2025-08-17 18:49:12,app,short_term,1702,7,614,approved,2025-08-19 18:49:12,1702,7,4,27,0.08,0,60,26,2025-08-11 08:15:22,38,F,1,college,single,6,private,3373.0,23,479,4,1,0,703.0,0,0.27,1,2,1,1,2025-10-11 08:15:22,2025-10-11 08:15:22,0,0.0,0,0.0,44.0,44.0,2.0,2.0,1.0,0.0,1.0,2025-08-19 18:49:12,1702.0,7.0,0.222,2025-08-27 18:49:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-08-29 18:49:12,125.0,True,0
2,922,2024-12-21 06:31:57,app,installment,3025,90,530,approved,2024-12-22 06:31:57,3025,90,3,30,0.45,0,77,17,2024-11-13 23:22:53,40,F,2,college,married,10,private,3243.0,79,209,4,2,0,606.0,1,0.39,9,4,2,2,2024-11-17 23:22:53,2025-01-06 23:22:53,0,0.0,0,0.0,40.5,42.0,1.5,2.0,1.0,0.5,2.0,2024-12-23 06:31:57,3025.0,90.0,0.194,2025-01-21 06:31:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-03-28 06:31:57,364.0,True,0
3,4820,2024-04-14 11:04:50,app,short_term,3991,7,560,rejected,,0,0,10,19,0.41,0,41,55,2024-10-23 08:18:27,32,M,3,middle,married,10,state,6594.0,35,163,5,1,0,502.0,1,0.1,7,1,1,1,2025-02-01 08:18:27,2025-02-01 08:18:27,0,0.0,0,0.0,79.0,79.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
4,689,2025-10-11 13:51:31,app,short_term,2481,30,626,approved,2025-10-12 13:51:31,2481,30,0,5,0.12,0,72,32,2025-07-17 07:34:27,40,M,3,high,single,4,state,3292.0,7,175,5,3,0,586.0,0,0.33,8,0,3,2,2025-08-04 07:34:27,2025-10-09 07:34:27,0,0.0,0,0.0,23.666666666666668,34.0,2.6666666666666665,4.0,0.6666666666666666,0.6666666666666666,3.0,2025-10-12 13:51:31,2481.0,30.0,0.239,2025-10-26 13:51:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-11-17 13:51:31,71.0,False,
5,2570,2025-05-07 17:12:02,web,short_term,2480,30,605,approved,2025-05-08 17:12:02,2480,30,1,19,0.36,0,75,22,2025-06-09 06:22:32,22,M,3,college,single,3,private,2227.0,104,403,2,1,0,676.0,0,0.42,6,0,1,1,2025-09-30 06:22:32,2025-09-30 06:22:32,0,0.0,0,0.0,54.0,54.0,3.0,3.0,1.0,1.0,4.0,2025-05-08 17:12:02,2480.0,30.0,0.341,2025-05-22 17:12:02,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,,2025-06-10 17:12:02,228.0,True,0
6,3881,2025-02-03 10:38:34,app,installment,4268,180,513,rejected,,0,0,2,25,0.56,0,44,2,2024-10-21 04:03:33,43,M,2,college,single,0,self_employed,3572.0,57,56,5,3,0,632.0,2,0.33,4,2,3,3,2024-11-08 04:03:33,2025-01-30 04:03:33,0,0.0,1,0.3333333333333333,43.333333333333336,61.0,3.0,4.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,False,
7,4998,2024-02-05 21:02:27,web,installment,2042,90,637,approved,2024-02-07 21:02:27,2042,90,3,20,0.25,0,45,25,2025-05-05 14:25:19,43,F,2,college,divorced,0,self_employed,2463.0,100,229,3,1,1,770.0,0,0.2,2,0,1,1,2025-06-22 14:25:19,2025-06-22 14:25:19,0,0.0,0,0.0,46.0,46.0,3.0,3.0,1.0,0.0,5.0,2024-02-08 21:02:27,2042.0,90.0,0.299,2024-03-08 21:02:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-05-15 21:02:27,683.0,True,0
8,129,2024-10-15 13:50:22,app,short_term,1746,21,646,approved,2024-10-17 13:50:22,1746,21,3,27,0.38,0,40,41,2025-02-15 11:00:10,45,M,1,middle,married,7,private,3024.0,99,357,2,1,0,736.0,0,0.58,0,0,1,1,2025-03-25 11:00:10,2025-03-25 11:00:10,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2024-10-17 13:50:22,1746.0,21.0,0.148,2024-10-29 13:50:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-14 13:50:22,431.0,True,0
9,1110,2024-11-04 10:45:04,app,installment,2872,90,619,rejected,,0,0,3,13,0.22,0,37,31,2024-06-10 23:34:19,23,M,1,college,single,7,private,2998.0,28,71,3,2,0,667.0,0,0.54,5,0,2,2,2024-06-13 23:34:19,2024-07-01 23:34:19,0,0.0,0,0.0,50.0,56.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
10,47,2025-02-01 07:09:00,app,installment,3276,60,575,rejected,,0,0,3,22,0.04,0,70,0,2024-11-13 08:26:41,54,F,4,graduate,married,4,state,3342.0,90,178,4,1,0,513.0,1,0.04,2,1,1,1,2024-12-16 08:26:41,2024-12-16 08:26:41,0,0.0,0,0.0,33.0,33.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
11,1052,2024-12-28 23:46:59,app,short_term,3139,14,591,rejected,,0,0,0,29,0.36,0,84,26,2024-12-24 06:33:53,40,M,2,high,single,2,private,6184.0,117,327,3,3,1,559.0,2,0.1,2,0,3,3,2025-01-11 06:33:53,2025-04-12 06:33:53,0,0.0,0,0.0,40.666666666666664,60.0,1.3333333333333333,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,False,
12,1101,2024-11-13 12:06:55,app,installment,2646,120,579,approved,2024-11-14 12:06:55,2646,120,4,22,0.4,0,55,37,2025-10-24 19:40:30,18,F,3,high,single,2,private,2687.0,74,214,5,1,0,629.0,0,0.26,2,0,1,1,2026-02-07 19:40:30,2026-02-07 19:40:30,0,0.0,1,1.0,53.0,53.0,1.0,1.0,1.0,1.0,7.0,2024-11-15 12:06:55,2646.0,120.0,0.317,2024-12-22 12:06:55,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,,2025-03-18 12:06:55,402.0,True,0
13,4346,2024-09-13 23:12:00,partner,installment,4636,90,544,rejected,,0,0,8,5,0.61,1,59,44,2025-03-12 02:54:13,23,F,5,college,single,3,self_employed,2599.0,34,61,1,3,1,639.0,2,0.23,5,0,3,3,2025-04-22 02:54:13,2025-05-31 02:54:13,0,0.0,1,0.3333333333333333,30.0,34.0,1.6666666666666667,3.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,False,
14,280,2025-11-05 01:52:46,app,short_term,2579,14,525,rejected,,0,0,6,11,0.19,1,79,55,2024-02-22 09:25:46,39,F,3,graduate,married,8,private,4504.0,93,423,3,2,1,517.0,3,0.48,3,3,2,1,2024-03-13 09:25:46,2024-04-14 09:25:46,0,0.0,1,0.5,24.0,35.0,1.5,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
15,4273,2025-03-12 10:45:35,app,short_term,4578,14,655,approved,2025-03-12 10:45:35,4578,14,7,20,0.03,0,36,35,2025-07-04 06:32:13,55,M,4,middle,married,2,self_employed,4514.0,62,442,2,3,1,716.0,0,0.36,5,1,3,3,2025-07-17 06:32:13,2025-09-18 06:32:13,0,0.0,0,0.0,34.333333333333336,39.0,1.6666666666666667,3.0,0.6666666666666666,0.3333333333333333,8.0,2025-03-12 10:45:35,4578.0,14.0,0.175,2025-03-22 10:45:35,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2025-04-03 10:45:35,285.0,True,0
16,2491,2025-11-17 07:11:25,app,short_term,3062,30,575,rejected,,0,0,4,18,0.33,0,76,50,2025-03-13 15:41:54,46,M,4,middle,married,10,private,3721.0,40,226,3,2,0,525.0,1,0.29,4,1,2,2,2025-05-30 15:41:54,2025-07-04 15:41:54,0,0.0,0,0.0,14.5,17.0,3.5,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
17,4356,2025-05-20 19:05:02,app,installment,4584,90,577,rejected,,0,0,5,5,0.28,0,66,24,2023-12-29 12:52:36,53,F,2,college,married,0,self_employed,2261.0,8,360,2,1,0,637.0,1,0.55,1,2,1,1,2024-03-01 12:52:36,2024-03-01 12:52:36,0,0.0,0,0.0,14.0,14.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
18,2753,2024-08-14 12:09:07,web,installment,2510,120,617,rejected,,0,0,2,14,0.11,1,27,22,2025-09-29 10:39:26,49,F,4,college,married,5,unemployed,4666.0,51,458,4,1,0,600.0,0,0.26,8,0,1,1,2025-11-17 10:39:26,2025-11-17 10:39:26,0,0.0,0,0.0,55.0,55.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
19,2877,2024-05-27 07:36:20,app,short_term,640,14,607,rejected,,0,0,9,22,0.4,0,90,40,2024-01-22 16:06:25,53,F,2,high,single,7,self_employed,5109.0,78,64,4,1,0,694.0,0,0.37,10,4,1,1,2024-03-25 16:06:25,2024-03-25 16:06:25,0,0.0,0,0.0,36.0,36.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
20,2178,2025-06-20 00:34:28,app,short_term,1556,7,562,rejected,,0,0,8,13,0.23,0,90,27,2025-05-17 21:05:01,30,M,2,college,divorced,9,private,3242.0,40,157,2,1,1,593.0,0,0.67,5,3,1,1,2025-07-13 21:05:01,2025-07-13 21:05:01,0,0.0,0,0.0,10.0,10.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
21,3931,2025-01-04 23:35:09,app,short_term,4762,14,608,approved,2025-01-06 23:35:09,4762,14,0,22,0.38,0,49,28,2025-09-03 18:06:07,55,F,3,college,married,10,private,6243.0,113,464,3,1,0,527.0,0,0.3,3,1,1,1,2025-10-13 18:06:07,2025-10-13 18:06:07,0,0.0,0,0.0,47.0,47.0,1.0,1.0,1.0,1.0,9.0,2025-01-06 23:35:09,4762.0,14.0,0.242,2025-01-16 23:35:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-01-22 23:35:09,350.0,True,0
22,2099,2024-05-09 09:04:02,web,short_term,974,14,647,approved,2024-05-11 09:04:02,974,14,4,12,0.1,0,54,7,2025-04-24 12:43:02,28,M,3,college,single,3,private,4992.0,5,144,5,3,0,633.0,0,0.29,9,0,3,3,2025-05-05 12:43:02,2025-08-19 12:43:02,0,0.0,0,0.0,32.666666666666664,39.0,2.0,3.0,1.0,0.6666666666666666,10.0,2024-05-12 09:04:02,974.0,14.0,0.228,2024-05-22 09:04:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-05-30 09:04:02,589.0,True,0
23,2526,2025-08-13 07:32:41,app,short_term,1755,21,598,rejected,,0,0,2,11,0.47,0,69,38,2024-02-25 01:17:24,48,M,3,high,single,10,private,5038.0,21,204,2,2,1,494.0,0,0.11,5,0,2,2,2024-04-22 01:17:24,2024-06-15 01:17:24,0,0.0,0,0.0,65.5,67.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,False,
24,1393,2025-06-27 04:10:42,partner,short_term,1697,7,675,approved,2025-06-27 04:10:42,1697,7,8,18,0.19,0,37,22,2024-05-29 09:47:26,39,F,4,high,single,6,private,8089.0,65,110,2,2,0,626.0,0,0.63,1,0,2,2,2024-06-12 09:47:26,2024-07-23 09:47:26,0,0.0,0,0.0,58.0,61.0,2.0,3.0,1.0,0.0,11.0,2025-06-27 04:10:42,1697.0,7.0,0.217,2025-07-05 04:10:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-07-10 04:10:42,178.0,True,0
25,1192,2024-08-08 03:51:33,app,installment,887,90,641,approved,2024-08-08 03:51:33,887,90,7,20,0.43,0,62,25,2025-05-20 05:08:46,27,M,3,high,single,7,unemployed,4838.0,74,186,4,2,1,621.0,0,0.14,8,0,2,2,2025-06-17 05:08:46,2025-08-15 05:08:46,0,0.0,0,0.0,40.0,61.0,2.0,3.0,1.0,1.0,12.0,2024-08-08 03:51:33,887.0,90.0,0.248,2024-09-06 03:51:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-12 03:51:33,501.0,True,0
26,4410,2024-02-03 05:15:43,app,short_term,3730,30,545,rejected,,0,0,1,26,0.34,0,31,27,2024-12-16 10:08:19,34,M,1,high,married,4,self_employed,2394.0,57,268,4,1,1,579.0,0,0.59,0,4,1,1,2025-03-26 10:08:19,2025-03-26 10:08:19,0,0.0,0,0.0,56.0,56.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
27,3971,2025-01-26 10:55:45,app,installment,3510,120,615,approved,2025-01-27 10:55:45,3510,120,3,17,0.18,0,59,16,2025-05-12 20:04:25,47,M,3,middle,married,3,self_employed,5274.0,106,275,4,3,0,640.0,1,0.55,3,1,3,3,2025-05-14 20:04:25,2025-08-30 20:04:25,0,0.0,0,0.0,47.0,70.0,1.3333333333333333,2.0,1.0,0.6666666666666666,13.0,2025-01-27 10:55:45,3510.0,120.0,0.319,2025-03-05 10:55:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-05-31 10:55:45,329.0,True,0
28,2328,2024-06-19 04:54:59,app,installment,4190,120,568,rejected,,0,0,4,20,0.29,0,58,23,2024-02-09 13:37:58,26,M,2,high,married,10,private,3976.0,23,482,5,2,0,494.0,0,0.64,9,1,2,2,2024-02-24 13:37:58,2024-05-29 13:37:58,0,0.0,1,0.5,22.5,45.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,False,
29,1156,2025-06-14 11:15:33,partner,short_term,3313,7,573,rejected,,0,0,5,0,0.26,0,29,41,2025-09-04 16:48:20,26,M,2,graduate,divorced,7,unemployed,2927.0,94,192,5,3,1,477.0,0,0.6,3,2,3,3,2025-10-11 16:48:20,2025-12-17 16:48:20,0,0.0,0,0.0,35.0,58.0,2.3333333333333335,3.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,False,
