app_id,user_id,apply_dt,channel,product_type,requested_amount,requested_term,risk_score,decision,approve_dt,approved_amount,approved_term,login_7d,login_30d,night_ratio,device_change_90d,app_install_cnt,sms_cnt_7d,register_dt,age,gender,city_tier,education,marital_status,residence_years,company_type,monthly_income,phone_age_months,contact_count,emergency_contact_count,device_count,has_credit_card,bureau_score,delinq_12m,credit_utilization,open_accounts,inquiry_3m,device_cnt,brand_nunique,first_seen_min,first_seen_max,emulator_any,emulator_rate,rooted_any,rooted_rate,device_risk_score_mean,device_risk_score_max,ip_risk_level_mean,ip_risk_level_max,geo_consistent_rate,android_share,loan_id,disburse_dt,principal,term_days,apr,first_due_dt,dpd_max_30d,dpd_max_60d,dpd_max_90d,dpd_max_180d,dpd30_ever_30d,dpd30_ever_60d,dpd30_ever,dpd30_ever_180d,chargeoff_dt,paid_off_dt,loan_age_days,label_available,y_dpd30_ever
1,1963,2025-08-17 18:49:12,app,short_term,1702,7,614,approved,2025-08-19 18:49:12,1702,7,4,27,0.08,0,60,26,2025-08-11 08:15:22,38,F,1,college,single,6,private,3373.0,23,479,4,1,0,703.0,0,0.27,1,2,1,1,2025-10-11 08:15:22,2025-10-11 08:15:22,0,0.0,0,0.0,44.0,44.0,2.0,2.0,1.0,0.0,1.0,2025-08-19 18:49:12,1702.0,7.0,0.222,2025-08-27 18:49:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-08-29 18:49:12,125.0,True,0
2,922,2024-12-21 06:31:57,app,installment,3025,90,530,approved,2024-12-22 06:31:57,3025,90,3,30,0.45,0,77,17,2024-11-13 23:22:53,40,F,2,college,married,10,private,3243.0,79,209,4,2,0,606.0,1,0.39,9,4,2,2,2024-11-17 23:22:53,2025-01-06 23:22:53,0,0.0,0,0.0,40.5,42.0,1.5,2.0,1.0,0.5,2.0,2024-12-23 06:31:57,3025.0,90.0,0.194,2025-01-21 06:31:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-03-28 06:31:57,364.0,True,0
5,2570,2025-05-07 17:12:02,web,short_term,2480,30,605,approved,2025-05-08 17:12:02,2480,30,1,19,0.36,0,75,22,2025-06-09 06:22:32,22,M,3,college,single,3,private,2227.0,104,403,2,1,0,676.0,0,0.42,6,0,1,1,2025-09-30 06:22:32,2025-09-30 06:22:32,0,0.0,0,0.0,54.0,54.0,3.0,3.0,1.0,1.0,4.0,2025-05-08 17:12:02,2480.0,30.0,0.341,2025-05-22 17:12:02,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,,2025-06-10 17:12:02,228.0,True,0
7,4998,2024-02-05 21:02:27,web,installment,2042,90,637,approved,2024-02-07 21:02:27,2042,90,3,20,0.25,0,45,25,2025-05-05 14:25:19,43,F,2,college,divorced,0,self_employed,2463.0,100,229,3,1,1,770.0,0,0.2,2,0,1,1,2025-06-22 14:25:19,2025-06-22 14:25:19,0,0.0,0,0.0,46.0,46.0,3.0,3.0,1.0,0.0,5.0,2024-02-08 21:02:27,2042.0,90.0,0.299,2024-03-08 21:02:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-05-15 21:02:27,683.0,True,0
8,129,2024-10-15 13:50:22,app,short_term,1746,21,646,approved,2024-10-17 13:50:22,1746,21,3,27,0.38,0,40,41,2025-02-15 11:00:10,45,M,1,middle,married,7,private,3024.0,99,357,2,1,0,736.0,0,0.58,0,0,1,1,2025-03-25 11:00:10,2025-03-25 11:00:10,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2024-10-17 13:50:22,1746.0,21.0,0.148,2024-10-29 13:50:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-14 13:50:22,431.0,True,0
12,1101,2024-11-13 12:06:55,app,installment,2646,120,579,approved,2024-11-14 12:06:55,2646,120,4,22,0.4,0,55,37,2025-10-24 19:40:30,18,F,3,high,single,2,private,2687.0,74,214,5,1,0,629.0,0,0.26,2,0,1,1,2026-02-07 19:40:30,2026-02-07 19:40:30,0,0.0,1,1.0,53.0,53.0,1.0,1.0,1.0,1.0,7.0,2024-11-15 12:06:55,2646.0,120.0,0.317,2024-12-22 12:06:55,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,,2025-03-18 12:06:55,402.0,True,0
15,4273,2025-03-12 10:45:35,app,short_term,4578,14,655,approved,2025-03-12 10:45:35,4578,14,7,20,0.03,0,36,35,2025-07-04 06:32:13,55,M,4,middle,married,2,self_employed,4514.0,62,442,2,3,1,716.0,0,0.36,5,1,3,3,2025-07-17 06:32:13,2025-09-18 06:32:13,0,0.0,0,0.0,34.333333333333336,39.0,1.6666666666666667,3.0,0.6666666666666666,0.3333333333333333,8.0,2025-03-12 10:45:35,4578.0,14.0,0.175,2025-03-22 10:45:35,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2025-04-03 10:45:35,285.0,True,0
21,3931,2025-01-04 23:35:09,app,short_term,4762,14,608,approved,2025-01-06 23:35:09,4762,14,0,22,0.38,0,49,28,2025-09-03 18:06:07,55,F,3,college,married,10,private,6243.0,113,464,3,1,0,527.0,0,0.3,3,1,1,1,2025-10-13 18:06:07,2025-10-13 18:06:07,0,0.0,0,0.0,47.0,47.0,1.0,1.0,1.0,1.0,9.0,2025-01-06 23:35:09,4762.0,14.0,0.242,2025-01-16 23:35:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-01-22 23:35:09,350.0,True,0
22,2099,2024-05-09 09:04:02,web,short_term,974,14,647,approved,2024-05-11 09:04:02,974,14,4,12,0.1,0,54,7,2025-04-24 12:43:02,28,M,3,college,single,3,private,4992.0,5,144,5,3,0,633.0,0,0.29,9,0,3,3,2025-05-05 12:43:02,2025-08-19 12:43:02,0,0.0,0,0.0,32.666666666666664,39.0,2.0,3.0,1.0,0.6666666666666666,10.0,2024-05-12 09:04:02,974.0,14.0,0.228,2024-05-22 09:04:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-05-30 09:04:02,589.0,True,0
24,1393,2025-06-27 04:10:42,partner,short_term,1697,7,675,approved,2025-06-27 04:10:42,1697,7,8,18,0.19,0,37,22,2024-05-29 09:47:26,39,F,4,high,single,6,private,8089.0,65,110,2,2,0,626.0,0,0.63,1,0,2,2,2024-06-12 09:47:26,2024-07-23 09:47:26,0,0.0,0,0.0,58.0,61.0,2.0,3.0,1.0,0.0,11.0,2025-06-27 04:10:42,1697.0,7.0,0.217,2025-07-05 04:10:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-07-10 04:10:42,178.0,True,0
25,1192,2024-08-08 03:51:33,app,installment,887,90,641,approved,2024-08-08 03:51:33,887,90,7,20,0.43,0,62,25,2025-05-20 05:08:46,27,M,3,high,single,7,unemployed,4838.0,74,186,4,2,1,621.0,0,0.14,8,0,2,2,2025-06-17 05:08:46,2025-08-15 05:08:46,0,0.0,0,0.0,40.0,61.0,2.0,3.0,1.0,1.0,12.0,2024-08-08 03:51:33,887.0,90.0,0.248,2024-09-06 03:51:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-12 03:51:33,501.0,True,0
27,3971,2025-01-26 10:55:45,app,installment,3510,120,615,approved,2025-01-27 10:55:45,3510,120,3,17,0.18,0,59,16,2025-05-12 20:04:25,47,M,3,middle,married,3,self_employed,5274.0,106,275,4,3,0,640.0,1,0.55,3,1,3,3,2025-05-14 20:04:25,2025-08-30 20:04:25,0,0.0,0,0.0,47.0,70.0,1.3333333333333333,2.0,1.0,0.6666666666666666,13.0,2025-01-27 10:55:45,3510.0,120.0,0.319,2025-03-05 10:55:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-05-31 10:55:45,329.0,True,0
31,120,2025-06-04 16:37:00,app,short_term,4716,14,621,approved,2025-06-04 16:37:00,4716,14,1,13,0.38,0,56,30,2024-03-16 14:34:00,46,M,1,middle,divorced,0,self_employed,5761.0,1,470,3,2,0,620.0,0,0.37,1,1,2,2,2024-06-07 14:34:00,2024-06-12 14:34:00,0,0.0,0,0.0,58.5,84.0,1.5,2.0,1.0,1.0,14.0,2025-06-04 16:37:00,4716.0,14.0,0.192,2025-06-14 16:37:00,13.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,,2025-06-21 16:37:00,201.0,True,0
32,3504,2024-09-14 11:08:36,partner,installment,1042,60,620,approved,2024-09-16 11:08:36,1042,60,9,27,0.29,0,66,45,2025-08-07 13:54:05,50,F,2,college,married,1,self_employed,4270.0,7,209,5,3,0,550.0,0,0.34,9,0,3,3,2025-08-13 13:54:05,2025-11-25 13:54:05,0,0.0,0,0.0,45.0,51.0,2.6666666666666665,4.0,1.0,1.0,15.0,2024-09-16 11:08:36,1042.0,60.0,0.208,2024-10-08 11:08:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-11-24 11:08:36,462.0,True,0
33,1344,2024-10-25 14:01:35,app,short_term,3378,30,644,approved,2024-10-26 14:01:35,3378,30,0,22,0.05,0,78,8,2025-12-21 05:36:08,43,F,4,high,married,2,private,5371.0,62,190,3,1,0,660.0,0,0.18,8,0,1,1,2026-04-12 05:36:08,2026-04-12 05:36:08,0,0.0,0,0.0,46.0,46.0,2.0,2.0,1.0,1.0,16.0,2024-10-27 14:01:35,3378.0,30.0,0.245,2024-11-10 14:01:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024-12-01 14:01:35,421.0,True,0
35,227,2024-10-08 15:21:36,app,installment,675,180,621,approved,2024-10-09 15:21:36,675,180,5,6,0.23,0,64,20,2025-08-05 07:44:10,29,M,2,college,single,9,private,3555.0,109,310,2,3,1,617.0,0,0.13,3,2,3,3,2025-09-16 07:44:10,2025-11-24 07:44:10,0,0.0,1,0.3333333333333333,45.333333333333336,78.0,1.3333333333333333,2.0,1.0,1.0,17.0,2024-10-09 15:21:36,675.0,180.0,0.196,2024-11-30 15:21:36,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,2025-04-07 15:21:36,439.0,True,0
42,2590,2025-05-25 11:26:21,web,installment,1930,60,639,approved,2025-05-26 11:26:21,1930,60,2,14,0.15,0,48,44,2025-01-15 11:09:46,47,F,4,middle,single,4,private,5897.0,109,461,2,3,1,532.0,0,0.05,4,0,3,2,2025-02-18 11:09:46,2025-04-21 11:09:46,0,0.0,0,0.0,20.333333333333332,29.0,1.6666666666666667,3.0,1.0,1.0,19.0,2025-05-26 11:26:21,1930.0,60.0,0.215,2025-06-17 11:26:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-07-26 11:26:21,210.0,True,0
43,4769,2024-08-05 15:00:36,app,installment,1005,90,641,approved,2024-08-05 15:00:36,1005,90,7,24,0.12,0,54,0,2024-07-07 18:22:42,22,F,4,middle,single,0,self_employed,5752.0,66,179,1,1,1,577.0,0,0.31,9,0,1,1,2024-10-15 18:22:42,2024-10-15 18:22:42,0,0.0,0,0.0,41.0,41.0,2.0,2.0,1.0,0.0,20.0,2024-08-06 15:00:36,1005.0,90.0,0.213,2024-09-04 15:00:36,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,2024-11-15 15:00:36,503.0,True,0
44,63,2024-05-08 01:42:49,partner,short_term,1538,7,647,approved,2024-05-09 01:42:49,1538,7,6,8,0.3,0,78,36,2024-09-16 15:34:45,19,M,5,college,married,0,state,4599.0,49,99,5,1,1,733.0,0,0.33,1,1,1,1,2024-11-24 15:34:45,2024-11-24 15:34:45,0,0.0,0,0.0,32.0,32.0,1.0,1.0,1.0,1.0,21.0,2024-05-10 01:42:49,1538.0,7.0,0.204,2024-05-18 01:42:49,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,2024-05-20 01:42:49,591.0,True,0
46,4699,2024-06-22 18:14:24,app,short_term,664,21,637,approved,2024-06-24 18:14:24,664,21,1,14,0.1,0,68,27,2025-06-12 12:57:43,20,M,3,college,single,9,self_employed,7315.0,25,310,2,2,0,618.0,0,0.08,5,1,2,2,2025-06-29 12:57:43,2025-08-25 12:57:43,0,0.0,0,0.0,21.0,31.0,1.0,1.0,1.0,0.5,22.0,2024-06-25 18:14:24,664.0,21.0,0.292,2024-07-07 18:14:24,7.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,,2024-07-21 18:14:24,545.0,True,0
48,618,2025-02-28 03:31:23,app,installment,2069,90,677,approved,2025-03-01 03:31:23,2069,90,8,9,0.23,0,94,40,2024-07-05 12:26:14,51,M,3,college,single,7,self_employed,4650.0,6,228,3,3,0,774.0,0,0.11,6,0,3,3,2024-09-12 12:26:14,2024-10-27 12:26:14,0,0.0,0,0.0,30.666666666666668,41.0,1.6666666666666667,2.0,1.0,0.3333333333333333,23.0,2025-03-01 03:31:23,2069.0,90.0,0.207,2025-03-30 03:31:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-06-09 03:31:23,296.0,True,0
50,3902,2024-12-23 13:44:45,app,short_term,2315,30,550,approved,2024-12-23 13:44:45,2315,30,9,21,0.21,0,81,42,2025-05-29 03:08:52,43,F,1,high,married,0,self_employed,2564.0,94,497,3,1,0,529.0,1,0.11,8,1,1,1,2025-09-01 03:08:52,2025-09-01 03:08:52,0,0.0,0,0.0,24.0,24.0,2.0,2.0,1.0,1.0,24.0,2024-12-23 13:44:45,2315.0,30.0,0.215,2025-01-06 13:44:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-02-04 13:44:45,364.0,True,0
52,4731,2025-01-03 06:56:50,app,short_term,2400,7,600,approved,2025-01-05 06:56:50,2400,7,7,1,0.22,0,50,16,2024-02-06 18:20:57,25,M,4,graduate,married,4,private,3843.0,119,140,5,2,0,576.0,0,0.8,4,0,2,2,2024-02-20 18:20:57,2024-06-02 18:20:57,0,0.0,0,0.0,48.0,49.0,2.0,3.0,1.0,1.0,25.0,2025-01-05 06:56:50,2400.0,7.0,0.227,2025-01-13 06:56:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-01-26 06:56:50,351.0,True,0
53,4380,2024-12-23 09:12:50,app,short_term,2649,14,595,approved,2024-12-25 09:12:50,2649,14,4,10,0.52,0,39,42,2024-09-28 19:10:26,45,M,4,high,married,7,state,2886.0,19,486,1,3,0,654.0,0,0.48,8,0,3,3,2024-10-23 19:10:26,2024-12-18 19:10:26,0,0.0,0,0.0,34.333333333333336,53.0,2.3333333333333335,4.0,1.0,1.0,26.0,2024-12-25 09:12:50,2649.0,14.0,0.253,2025-01-04 09:12:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-01-19 09:12:50,362.0,True,0
