feature,iv,bin_type
inquiry_3m,0.7858157779143964,numeric_as_categorical
delinq_12m,0.7658149028892478,numeric_as_categorical
monthly_income,0.7228800369466996,numeric_binned
device_risk_score_mean,0.4033041843733502,numeric_binned
requested_amount,0.38389328427979574,numeric_binned
apply_hour,0.29523031051928067,numeric_binned
age,0.28919622165042086,numeric_binned
bureau_score,0.2761041953290592,numeric_binned
ip_risk_level_mean,0.2704436657953113,numeric_binned
open_accounts,0.25928038138551857,numeric_binned
city_tier,0.2509188747587784,numeric_as_categorical
app_install_cnt,0.23545290571518296,numeric_binned
requested_term,0.2052234466298612,numeric_as_categorical
apply_dayofweek,0.19817540693299726,numeric_as_categorical
residence_years,0.18314820587277636,numeric_binned
rooted_rate,0.18159220838751608,numeric_as_categorical
night_ratio,0.167372177498292,numeric_binned
credit_utilization,0.16003592547616818,numeric_binned
phone_age_months,0.15777650382824665,numeric_binned
sms_cnt_7d,0.14177120918325986,numeric_binned
device_risk_score_max,0.14085128163929608,numeric_binned
contact_count,0.10916837577327326,numeric_binned
ip_risk_level_max,0.10779040347413674,numeric_as_categorical
education,0.1043334831001047,categorical
emulator_rate,0.10278909888002115,numeric_as_categorical
android_share,0.08551516051517691,numeric_as_categorical
emergency_contact_count,0.08333024717067442,numeric_as_categorical
login_30d,0.08214686679203811,numeric_binned
login_7d,0.06544368332151564,numeric_binned
geo_consistent_rate,0.057157394748975264,numeric_as_categorical
rooted_any,0.05258669770043557,numeric_as_categorical
company_type,0.04939754932463724,categorical
product_type,0.048584951194338526,categorical
brand_nunique,0.02298274786424977,numeric_as_categorical
