bin,count,bad,good,woe,bad_rate,iv_component,feature,iv,bin_type
installment,1069,14,1055,0.2666344402113985,0.013096351730589336,0.028813850240927273,product_type,0.048584951194338526,categorical
short_term,1256,26,1230,-0.18295564081151425,0.020700636942675158,0.019771100953411253,product_type,0.048584951194338526,categorical
"(-inf, 1003.0]",234,1,233,1.1180723622228221,0.004273504273504274,0.07673524290947026,requested_amount,0.38389328427979574,numeric_binned
"(1003.0, 1415.8]",231,3,228,0.2491286350609258,0.012987012987012988,0.005481796991757878,requested_amount,0.38389328427979574,numeric_binned
"(1415.8, 1916.4]",233,1,232,1.1137805101412812,0.004291845493562232,0.07595431863190541,requested_amount,0.38389328427979574,numeric_binned
"(1916.4, 2352.6]",232,3,229,0.25349545422726627,0.01293103448275862,0.005688580668612839,requested_amount,0.38389328427979574,numeric_binned
"(2352.6, 2815.0]",233,1,232,1.1137805101412812,0.004291845493562232,0.07595431863190541,requested_amount,0.38389328427979574,numeric_binned
"(2815.0, 3269.4]",232,4,228,-0.0021857932199803192,0.017241379310344827,4.772474279433084e-07,requested_amount,0.38389328427979574,numeric_binned
"(3269.4, 3642.8]",232,5,227,-0.20724246062538565,0.021551724137931036,0.0047411363505516415,requested_amount,0.38389328427979574,numeric_binned
"(3642.8, 4127.4]",233,9,224,-0.7670606982021517,0.03862660944206009,0.0867362909830235,requested_amount,0.38389328427979574,numeric_binned
"(4127.4, 4558.6]",232,6,226,-0.37870183875646823,0.02586206896551724,0.017244622788595114,requested_amount,0.38389328427979574,numeric_binned
"(4558.6, inf]",233,7,226,-0.5218026823971416,0.030042918454935622,0.035356499076545755,requested_amount,0.38389328427979574,numeric_binned
120,262,1,261,1.2092884893625078,0.003816793893129771,0.09692582440107672,requested_term,0.2052234466298612,numeric_as_categorical
14,300,6,294,-0.13820385984425562,0.02,0.002635336121677719,requested_term,0.2052234466298612,numeric_as_categorical
180,251,3,248,0.3109991910070099,0.01195219123505976,0.00902433710351867,requested_term,0.2052234466298612,numeric_as_categorical
21,310,3,307,0.524031432716899,0.00967741935483871,0.02871308889797259,requested_term,0.2052234466298612,numeric_as_categorical
30,323,10,313,-0.5552565831248079,0.030959752321981424,0.056456819566797684,requested_term,0.2052234466298612,numeric_as_categorical
60,293,6,287,-0.16226000269849183,0.020477815699658702,0.0035902579134754076,requested_term,0.2052234466298612,numeric_as_categorical
7,323,7,316,-0.20926046499233936,0.021671826625386997,0.006734955689986377,requested_term,0.2052234466298612,numeric_as_categorical
90,263,4,259,0.10299861979536372,0.015209125475285171,0.0011428269353560394,requested_term,0.2052234466298612,numeric_as_categorical
"(-inf, 1.0]",359,5,354,0.22536071080880135,0.013927576601671309,0.007040673151288265,login_7d,0.06544368332151564,numeric_binned
"(1.0, 2.0]",229,5,224,-0.2314719279810718,0.021834061135371178,0.005911598937079619,login_7d,0.06544368332151564,numeric_binned
"(2.0, 3.0]",284,6,278,-0.1829836604592083,0.02112676056338028,0.004469400747945456,login_7d,0.06544368332151564,numeric_binned
"(3.0, 4.0]",298,5,293,0.03653000410477023,0.016778523489932886,0.000167980417912599,login_7d,0.06544368332151564,numeric_binned
"(4.0, 5.0]",335,7,328,-0.16096572554255503,0.020895522388059702,0.004033513988483259,login_7d,0.06544368332151564,numeric_binned
"(5.0, 6.0]",254,6,248,-0.2969588742898637,0.023622047244094488,0.011144401342202619,login_7d,0.06544368332151564,numeric_binned
"(6.0, 7.0]",216,2,214,0.511419463568961,0.009259259259259259,0.019182731915155255,login_7d,0.06544368332151564,numeric_binned
"(7.0, 8.0]",155,2,153,0.17681029222814132,0.012903225806451613,0.0019211200472754467,login_7d,0.06544368332151564,numeric_binned
"(8.0, inf]",195,2,193,0.4083872376707258,0.010256410256410256,0.01157226277417311,login_7d,0.06544368332151564,numeric_binned
"(-inf, 7.0]",255,6,249,-0.28198786848798346,0.023529411764705882,0.010008448607421632,login_30d,0.08214686679203811,numeric_binned
"(11.0, 14.0]",229,5,224,-0.2205169918340817,0.021834061135371178,0.0053337079296113385,login_30d,0.08214686679203811,numeric_binned
"(14.0, 17.0]",287,6,281,-0.16131433609981188,0.020905923344947737,0.0034712716186446634,login_30d,0.08214686679203811,numeric_binned
"(17.0, 19.0]",205,3,202,0.12833231127326028,0.014634146341463415,0.0013667609085143437,login_30d,0.08214686679203811,numeric_binned
"(19.0, 21.0]",185,3,182,0.024342597749212658,0.016216216216216217,4.665369292061631e-05,login_30d,0.08214686679203811,numeric_binned
"(21.0, 24.0]",253,4,249,0.08573691163733364,0.015810276679841896,0.000767513837801458,login_30d,0.08214686679203811,numeric_binned
"(24.0, 27.0]",194,4,190,-0.18406980898748398,0.020618556701030927,0.0030946234262087926,login_30d,0.08214686679203811,numeric_binned
"(27.0, 32.0]",250,5,245,-0.1310957517818155,0.02,0.0019686625510175588,login_30d,0.08214686679203811,numeric_binned
"(32.0, inf]",214,2,212,0.5130066497123509,0.009345794392523364,0.01910395942038958,login_30d,0.08214686679203811,numeric_binned
"(7.0, 11.0]",253,2,251,0.6815076508876734,0.007905138339920948,0.03698526479950814,login_30d,0.08214686679203811,numeric_binned
"(-inf, 0.08]",237,3,234,0.2750480126130005,0.012658227848101266,0.006772773721547683,night_ratio,0.167372177498292,numeric_binned
"(0.08, 0.13]",256,2,254,0.6933654973384569,0.0078125,0.03853712650175655,night_ratio,0.167372177498292,numeric_binned
