user_id,register_dt,age,gender,city_tier,education,marital_status,residence_years,company_type,monthly_income,phone_age_months,contact_count,emergency_contact_count,device_count,has_credit_card
1,2024-02-27 03:40:36,36,M,1,college,single,3,self_employed,3463.0,36,84,1,1,0
2,2025-07-10 23:42:35,49,M,2,high,married,4,state,2210.0,22,286,4,2,1
3,2025-04-14 20:05:34,45,M,2,high,single,3,unemployed,2518.0,62,279,4,1,1
4,2024-11-08 09:09:00,28,F,3,high,married,6,self_employed,2576.0,3,71,2,2,0
5,2024-11-04 02:25:36,50,F,5,graduate,married,2,self_employed,3583.0,45,411,4,1,1
6,2025-09-10 18:38:07,20,F,2,high,married,5,private,5917.0,8,137,1,2,0
7,2024-02-24 17:46:03,40,M,2,high,single,9,private,5909.0,41,241,5,1,0
8,2025-05-16 01:53:16,53,M,4,high,single,1,unemployed,3069.0,80,75,3,1,1
9,2024-05-19 01:44:46,43,M,3,high,married,8,self_employed,1664.0,77,405,2,2,0
10,2024-03-01 17:59:13,53,M,1,college,single,9,unemployed,2420.0,3,131,5,1,1
11,2025-01-11 07:54:42,20,F,2,college,married,0,state,5519.0,85,282,3,3,1
12,2025-12-05 04:54:12,38,M,5,high,single,7,private,3948.0,37,279,5,2,0
13,2025-06-13 02:22:53,47,M,1,college,single,5,private,3215.0,58,93,1,3,0
14,2025-07-01 15:10:03,42,M,3,high,married,7,private,3137.0,82,435,2,1,0
15,2025-05-30 18:12:06,51,M,4,college,single,3,state,2800.0,5,52,3,1,1
16,2025-07-19 19:50:47,35,F,2,middle,married,2,unemployed,2389.0,21,344,2,2,0
17,2025-01-01 15:43:46,43,M,4,high,married,3,self_employed,7519.0,20,127,3,1,0
18,2024-03-26 12:33:03,33,F,2,college,married,1,state,6644.0,40,321,2,2,0
19,2025-08-28 00:23:20,51,F,2,graduate,married,4,private,2731.0,2,151,5,3,1
20,2024-11-16 18:45:41,22,F,2,college,single,9,private,1971.0,4,387,2,3,1
21,2024-12-23 06:09:56,27,F,5,college,single,8,private,3863.0,62,304,1,2,0
22,2024-09-19 16:22:52,21,F,2,college,married,1,unemployed,3458.0,14,338,5,1,0
23,2024-05-05 06:16:10,44,F,2,college,single,6,self_employed,4536.0,53,495,4,2,1
24,2025-10-30 12:55:21,26,M,5,high,single,0,state,4910.0,28,249,1,1,0
25,2025-07-16 13:03:42,30,M,2,high,single,0,self_employed,2418.0,120,392,5,1,0
26,2025-04-07 00:31:00,49,F,4,college,married,6,private,5699.0,16,417,1,3,0
27,2024-10-12 18:17:58,31,M,3,college,single,3,unemployed,3218.0,58,196,4,3,0
28,2025-08-15 14:47:00,23,M,3,college,single,7,self_employed,4504.0,57,189,1,1,0
29,2025-01-25 03:55:05,18,F,4,high,married,1,private,3323.0,89,368,2,2,0
30,2024-11-11 16:37:00,26,M,4,high,married,1,self_employed,5028.0,16,468,5,2,1
31,2024-11-16 20:03:04,52,M,1,high,single,7,private,1593.0,116,56,1,2,1
32,2024-06-06 21:13:20,38,F,5,college,married,2,state,4715.0,37,102,3,3,0
33,2024-02-29 06:13:16,55,M,5,middle,married,0,private,2721.0,5,126,2,3,0
34,2025-01-31 20:19:31,26,F,4,college,single,8,private,3736.0,87,337,2,1,1
35,2025-10-02 03:49:48,31,M,3,middle,single,7,state,5629.0,66,239,1,1,0
36,2024-02-08 14:04:41,24,F,3,high,single,10,private,2749.0,79,275,2,3,0
37,2025-09-10 13:15:48,33,F,3,college,single,6,private,2602.0,110,192,2,2,0
38,2025-08-19 04:05:53,39,M,1,high,married,5,self_employed,3196.0,46,242,1,2,0
39,2024-07-13 00:49:47,48,M,3,college,single,7,private,3127.0,109,399,4,3,0
40,2025-03-29 02:45:36,31,M,3,middle,divorced,8,state,2521.0,112,243,1,3,0
41,2024-04-22 14:48:48,47,M,3,college,single,6,state,3779.0,66,227,2,2,0
42,2025-06-29 09:41:49,41,M,2,college,single,3,private,3848.0,95,69,5,3,1
43,2025-05-18 09:09:44,29,F,3,college,married,9,unemployed,4281.0,5,220,2,2,0
44,2024-09-07 19:17:41,52,M,3,middle,married,7,private,2733.0,73,388,4,3,0
45,2024-02-11 13:57:30,34,F,3,high,single,9,private,2617.0,10,111,3,2,1
46,2025-12-01 14:37:45,23,M,5,college,single,6,private,3493.0,53,208,4,1,1
47,2024-11-13 08:26:41,54,F,4,graduate,married,4,state,3342.0,90,178,4,1,0
48,2025-10-05 23:28:55,52,M,1,college,single,9,private,3364.0,8,264,3,2,1
49,2025-05-01 21:08:27,19,M,1,college,married,6,private,2843.0,49,420,4,3,0
50,2025-07-14 05:16:43,52,F,4,college,married,8,state,4087.0,50,432,3,2,0
51,2025-06-30 17:26:17,54,M,3,college,single,9,self_employed,2618.0,29,223,2,3,1
52,2024-05-14 02:04:12,49,F,4,college,married,3,private,3489.0,66,310,4,2,1
53,2024-09-14 15:38:01,27,M,2,college,single,2,private,3271.0,97,418,2,3,0
54,2024-11-28 16:57:07,41,M,1,college,married,1,private,3599.0,119,433,1,3,0
55,2024-12-21 09:18:28,38,M,3,college,divorced,6,private,5513.0,109,321,2,3,0
56,2024-01-24 23:26:31,41,F,4,college,married,8,self_employed,2298.0,115,111,4,2,0
57,2025-01-25 23:53:51,41,M,5,middle,divorced,10,private,1577.0,25,219,4,2,0
58,2024-04-14 15:09:06,42,M,4,high,married,0,private,2957.0,14,177,3,2,1
59,2025-06-18 15:56:45,37,M,3,graduate,single,0,private,2433.0,22,356,3,3,0
60,2025-05-05 15:01:03,44,M,4,college,single,7,state,1500.0,118,152,2,2,1
61,2025-10-27 10:41:15,38,M,1,high,single,2,state,6709.0,27,65,1,1,0
62,2025-06-19 16:13:58,18,F,3,college,married,5,private,4429.0,91,449,2,1,1
63,2024-09-16 15:34:45,19,M,5,college,married,0,state,4599.0,49,99,5,1,1
64,2025-11-29 06:46:13,54,F,3,college,married,0,state,3295.0,82,402,5,2,1
65,2024-10-18 22:05:53,52,M,5,college,married,5,private,4219.0,91,480,1,3,0
66,2024-08-17 20:27:36,40,M,2,middle,single,7,private,3140.0,109,426,5,1,0
67,2025-10-15 00:59:11,24,M,1,high,single,9,private,4842.0,11,270,4,3,0
68,2024-09-19 10:27:14,47,M,3,middle,single,5,self_employed,3890.0,40,306,1,2,0
69,2024-02-17 17:31:57,23,M,5,college,divorced,7,private,3595.0,15,373,3,1,1
70,2024-11-30 18:37:04,32,M,2,high,single,9,private,3691.0,48,149,1,1,0
71,2025-07-26 20:18:47,30,M,4,college,single,4,state,6081.0,44,240,4,1,0
72,2024-05-10 07:32:17,18,F,2,college,single,2,state,3861.0,105,220,4,3,0
73,2024-11-25 22:43:07,48,M,4,college,divorced,9,self_employed,2539.0,85,173,2,1,1
74,2024-03-27 20:13:29,37,M,3,college,single,0,private,4096.0,13,298,4,1,0
75,2025-05-08 03:05:53,30,M,2,college,married,3,private,4321.0,54,239,2,2,1
76,2024-12-05 06:21:01,37,M,4,college,single,1,state,3461.0,86,58,3,2,1
77,2024-08-21 01:02:23,18,F,4,middle,single,7,self_employed,3575.0,89,91,1,2,0
78,2024-06-06 15:27:06,34,M,3,high,married,2,unemployed,2507.0,98,338,5,2,1
79,2025-02-08 02:02:17,37,F,2,college,married,3,state,3767.0,27,298,1,2,0
80,2025-04-25 23:08:28,30,M,2,high,married,7,private,2380.0,107,435,5,2,0
81,2025-11-09 10:09:46,49,M,5,college,single,3,private,3335.0,109,83,5,2,0
82,2024-11-07 02:54:05,27,F,3,high,divorced,3,unemployed,2881.0,27,196,1,2,1
83,2024-04-19 07:15:23,23,M,4,college,married,5,self_employed,5136.0,80,224,1,3,0
84,2025-08-22 20:31:19,38,F,4,middle,divorced,1,private,6263.0,82,356,1,3,0
85,2025-03-27 17:28:14,51,M,4,college,single,10,private,2439.0,106,246,5,1,0
86,2025-05-18 04:38:40,32,F,2,high,single,10,state,3635.0,11,268,1,1,0
87,2024-03-03 23:24:38,19,M,3,college,single,7,private,3266.0,28,465,4,1,0
88,2024-08-08 00:39:48,54,M,3,high,married,1,self_employed,4284.0,104,51,5,3,0
89,2025-07-06 12:37:31,34,F,1,college,married,5,self_employed,3766.0,5,452,2,2,0
90,2025-08-22 13:11:30,24,M,2,high,married,3,private,3179.0,58,178,3,2,0
