channel,product_type,risk_score_decile,cohort,loan_cnt,bad_cnt,bad_rate,amount_mean,amount_sum,score_mean
app,installment,1,2024-02,5,1,0.2,3546.0,17730.0,546.0
app,installment,1,2024-03,13,1,0.07692307692307693,3168.5384615384614,41191.0,544.6153846153846
app,installment,1,2024-04,6,0,0.0,2604.8333333333335,15629.0,538.8333333333334
app,installment,1,2024-05,3,0,0.0,2205.6666666666665,6617.0,559.3333333333334
app,installment,1,2024-06,3,0,0.0,2632.3333333333335,7897.0,534.3333333333334
app,installment,1,2024-07,8,0,0.0,3162.625,25301.0,546.875
app,installment,1,2024-08,3,0,0.0,1515.6666666666667,4547.0,545.6666666666666
app,installment,1,2024-09,2,0,0.0,3053.5,6107.0,552.5
app,installment,1,2024-10,6,1,0.16666666666666666,3169.0,19014.0,548.0
app,installment,1,2024-11,2,0,0.0,3235.5,6471.0,551.5
app,installment,1,2024-12,7,0,0.0,2102.5714285714284,14718.0,545.2857142857143
app,installment,1,2025-01,5,0,0.0,3199.6,15998.0,551.2
app,installment,1,2025-02,5,0,0.0,3305.4,16527.0,534.4
app,installment,1,2025-03,4,0,0.0,2180.25,8721.0,546.25
app,installment,1,2025-04,2,0,0.0,4212.5,8425.0,533.0
app,installment,1,2025-05,1,0,0.0,2076.0,2076.0,549.0
app,installment,1,2025-06,4,1,0.25,2759.25,11037.0,546.75
app,installment,1,2025-07,1,0,0.0,719.0,719.0,553.0
app,installment,1,2025-08,7,1,0.14285714285714285,2514.714285714286,17603.0,544.7142857142857
app,installment,1,2025-09,2,0,0.0,1825.0,3650.0,552.0
app,installment,2,2024-01,2,0,0.0,2858.5,5717.0,570.5
app,installment,2,2024-02,7,1,0.14285714285714285,2517.714285714286,17624.0,569.0
app,installment,2,2024-03,8,0,0.0,3219.25,25754.0,569.75
app,installment,2,2024-04,5,0,0.0,2624.4,13122.0,570.8
app,installment,2,2024-05,5,1,0.2,2771.0,13855.0,567.0
app,installment,2,2024-06,9,0,0.0,3009.8888888888887,27089.0,571.3333333333334
app,installment,2,2024-07,6,0,0.0,2914.0,17484.0,567.8333333333334
app,installment,2,2024-08,5,1,0.2,2526.6,12633.0,571.2
app,installment,2,2024-09,5,0,0.0,3004.8,15024.0,575.0
app,installment,2,2024-10,1,0,0.0,3427.0,3427.0,571.0
app,installment,2,2024-11,3,0,0.0,3010.0,9030.0,571.3333333333334
app,installment,2,2024-12,5,0,0.0,3276.4,16382.0,570.0
app,installment,2,2025-01,7,0,0.0,2996.285714285714,20974.0,571.8571428571429
app,installment,2,2025-02,2,0,0.0,2608.5,5217.0,570.5
app,installment,2,2025-03,6,0,0.0,2352.5,14115.0,571.0
app,installment,2,2025-04,2,0,0.0,2375.5,4751.0,570.0
app,installment,2,2025-05,2,0,0.0,3042.0,6084.0,563.5
app,installment,2,2025-06,4,0,0.0,2718.75,10875.0,569.5
app,installment,2,2025-07,5,1,0.2,3390.8,16954.0,567.8
app,installment,2,2025-08,3,0,0.0,3700.0,11100.0,572.3333333333334
app,installment,2,2025-09,2,0,0.0,2907.5,5815.0,563.0
app,installment,3,2024-01,4,0,0.0,2642.25,10569.0,579.25
app,installment,3,2024-02,9,0,0.0,3263.5555555555557,29372.0,581.7777777777778
app,installment,3,2024-03,5,0,0.0,1801.2,9006.0,584.2
app,installment,3,2024-04,2,0,0.0,2419.5,4839.0,587.0
app,installment,3,2024-05,8,0,0.0,2771.125,22169.0,584.75
app,installment,3,2024-06,4,0,0.0,2903.75,11615.0,582.25
app,installment,3,2024-07,1,0,0.0,3593.0,3593.0,580.0
app,installment,3,2024-08,3,0,0.0,2431.3333333333335,7294.0,585.3333333333334
app,installment,3,2024-09,6,0,0.0,2444.1666666666665,14665.0,584.6666666666666
app,installment,3,2024-10,6,1,0.16666666666666666,2732.5,16395.0,583.6666666666666
app,installment,3,2024-11,6,0,0.0,2045.1666666666667,12271.0,583.0
app,installment,3,2024-12,4,0,0.0,1685.25,6741.0,586.0
app,installment,3,2025-01,1,0,0.0,2093.0,2093.0,579.0
