cohort,1,2,3,4,5,6,7,8,9,10
2024-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2024-02,0.2142857142857142,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03,0.0526315789473684,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04,0.0526315789473684,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0
2024-05,0.1428571428571428,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
2024-10,0.0666666666666666,0.0769230769230769,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,0.125,0.0,0.0,0.0555555555555555,0.0588235294117647,0.0,0.0,0.0,0.0,0.0
2024-12,0.0526315789473684,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0
2025-02,0.1176470588235294,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,0.1538461538461538,0.1111111111111111,0.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.0,0.0
2025-05,0.1111111111111111,0.125,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0
2025-06,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,0.1176470588235294,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
2025-08,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0
2025-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0
