cohort,1,2,3,4,5,6,7,8,9,10
2024-01,3.0,5.0,8.0,2.0,3.0,5.0,4.0,2.0,,7.0
2024-02,14.0,16.0,20.0,15.0,11.0,18.0,13.0,14.0,9.0,11.0
2024-03,19.0,16.0,20.0,13.0,15.0,15.0,14.0,12.0,22.0,10.0
2024-04,19.0,20.0,14.0,10.0,14.0,18.0,17.0,8.0,15.0,11.0
2024-05,14.0,15.0,23.0,14.0,18.0,19.0,13.0,21.0,25.0,18.0
2024-06,15.0,25.0,16.0,18.0,21.0,15.0,17.0,19.0,12.0,17.0
2024-07,19.0,14.0,10.0,5.0,15.0,13.0,17.0,16.0,17.0,10.0
2024-08,9.0,18.0,18.0,11.0,16.0,8.0,16.0,17.0,14.0,14.0
2024-09,8.0,10.0,20.0,10.0,15.0,16.0,14.0,14.0,14.0,18.0
2024-10,15.0,13.0,17.0,11.0,14.0,17.0,15.0,11.0,16.0,19.0
2024-11,16.0,10.0,18.0,18.0,17.0,13.0,17.0,13.0,17.0,13.0
2024-12,19.0,14.0,14.0,17.0,15.0,16.0,17.0,17.0,18.0,12.0
2025-01,15.0,18.0,10.0,6.0,13.0,11.0,12.0,15.0,15.0,17.0
2025-02,17.0,13.0,20.0,21.0,12.0,10.0,14.0,11.0,15.0,15.0
2025-03,13.0,16.0,13.0,13.0,12.0,8.0,12.0,15.0,17.0,12.0
2025-04,13.0,9.0,11.0,17.0,13.0,23.0,12.0,12.0,9.0,10.0
2025-05,9.0,8.0,10.0,14.0,17.0,12.0,15.0,15.0,12.0,16.0
2025-06,8.0,14.0,18.0,16.0,11.0,19.0,15.0,21.0,11.0,17.0
2025-07,17.0,17.0,13.0,17.0,17.0,14.0,12.0,9.0,14.0,11.0
2025-08,21.0,12.0,15.0,9.0,10.0,12.0,19.0,14.0,6.0,17.0
2025-09,11.0,8.0,6.0,8.0,14.0,16.0,8.0,12.0,6.0,12.0
