cohort,mob,loan_cnt,dpd30_rate,ever_dpd30_rate,active_loan_cnt
2024-01,0,34,0.0,0.0,34
2024-01,1,34,0.0,0.0,23
2024-01,2,34,0.0,0.0,17
2024-01,3,34,0.0,0.0,13
2024-01,4,34,0.0,0.0,11
2024-01,5,34,0.0,0.0,7
2024-01,6,34,0.0,0.0,7
2024-02,0,141,0.0,0.0,141
2024-02,1,141,0.0070921985815602835,0.0070921985815602835,98
2024-02,2,141,0.02127659574468085,0.02127659574468085,77
2024-02,3,141,0.03546099290780142,0.03546099290780142,58
2024-02,4,141,0.03546099290780142,0.03546099290780142,38
2024-02,5,141,0.03546099290780142,0.03546099290780142,15
2024-02,6,141,0.0425531914893617,0.0425531914893617,15
2024-03,0,158,0.0,0.0,158
2024-03,1,158,0.006329113924050633,0.006329113924050633,116
2024-03,2,158,0.006329113924050633,0.006329113924050633,87
2024-03,3,158,0.012658227848101266,0.012658227848101266,68
2024-03,4,158,0.012658227848101266,0.012658227848101266,38
2024-03,5,158,0.012658227848101266,0.012658227848101266,22
2024-03,6,158,0.012658227848101266,0.012658227848101266,22
2024-04,0,145,0.0,0.0,145
2024-04,1,145,0.0,0.0,85
2024-04,2,145,0.0,0.0,52
2024-04,3,145,0.006896551724137931,0.006896551724137931,40
2024-04,4,145,0.006896551724137931,0.006896551724137931,30
2024-04,5,145,0.020689655172413793,0.020689655172413793,15
2024-04,6,145,0.020689655172413793,0.020689655172413793,15
2024-05,0,183,0.0,0.0,183
2024-05,1,183,0.00546448087431694,0.00546448087431694,127
2024-05,2,183,0.01092896174863388,0.01092896174863388,88
2024-05,3,183,0.02185792349726776,0.02185792349726776,66
2024-05,4,183,0.02185792349726776,0.02185792349726776,42
2024-05,5,183,0.0273224043715847,0.0273224043715847,22
2024-05,6,183,0.03278688524590164,0.03278688524590164,22
2024-06,0,165,0.0,0.0,165
2024-06,1,165,0.0,0.0,101
2024-06,2,165,0.0,0.0,72
2024-06,3,165,0.006060606060606061,0.006060606060606061,51
2024-06,4,165,0.006060606060606061,0.006060606060606061,34
2024-06,5,165,0.01818181818181818,0.01818181818181818,17
2024-06,6,165,0.024242424242424242,0.024242424242424242,17
2024-07,0,144,0.0,0.0,144
2024-07,1,144,0.0,0.0,91
2024-07,2,144,0.0,0.0,66
2024-07,3,144,0.006944444444444444,0.006944444444444444,44
2024-07,4,144,0.006944444444444444,0.006944444444444444,27
2024-07,5,144,0.013888888888888888,0.013888888888888888,6
2024-07,6,144,0.013888888888888888,0.013888888888888888,6
2024-08,0,141,0.0,0.0,141
2024-08,1,141,0.0,0.0,84
2024-08,2,141,0.0,0.0,64
2024-08,3,141,0.0070921985815602835,0.0070921985815602835,47
2024-08,4,141,0.0070921985815602835,0.0070921985815602835,32
2024-08,5,141,0.0070921985815602835,0.0070921985815602835,15
2024-08,6,141,0.0070921985815602835,0.0070921985815602835,15
2024-09,0,135,0.0,0.0,135
2024-09,1,135,0.007407407407407408,0.007407407407407408,90
2024-09,2,135,0.022222222222222223,0.022222222222222223,61
2024-09,3,135,0.022222222222222223,0.022222222222222223,42
2024-09,4,135,0.022222222222222223,0.022222222222222223,26
2024-09,5,135,0.022222222222222223,0.022222222222222223,8
2024-09,6,135,0.022222222222222223,0.022222222222222223,8
2024-10,0,152,0.0,0.0,152
2024-10,1,152,0.006578947368421052,0.006578947368421052,110
2024-10,2,152,0.019736842105263157,0.019736842105263157,76
2024-10,3,152,0.02631578947368421,0.02631578947368421,61
2024-10,4,152,0.02631578947368421,0.02631578947368421,38
2024-10,5,152,0.046052631578947366,0.046052631578947366,21
2024-10,6,152,0.05921052631578947,0.05921052631578947,21
2024-11,0,150,0.0,0.0,150
2024-11,1,150,0.006666666666666667,0.006666666666666667,100
2024-11,2,150,0.013333333333333334,0.013333333333333334,69
2024-11,3,150,0.02,0.02,44
2024-11,4,150,0.02,0.02,34
2024-11,5,150,0.02,0.02,15
2024-11,6,150,0.02666666666666667,0.02666666666666667,15
2024-12,0,160,0.0,0.0,160
2024-12,1,160,0.0125,0.0125,107
2024-12,2,160,0.01875,0.01875,77
2024-12,3,160,0.01875,0.01875,62
2024-12,4,160,0.01875,0.01875,39
2024-12,5,160,0.01875,0.01875,22
2024-12,6,160,0.01875,0.01875,22
2025-01,0,129,0.0,0.0,129
2025-01,1,129,0.0,0.0,76
2025-01,2,129,0.0,0.0,52
2025-01,3,129,0.015503875968992248,0.015503875968992248,40
2025-01,4,129,0.015503875968992248,0.015503875968992248,25
2025-01,5,129,0.023255813953488372,0.023255813953488372,8
2025-01,6,129,0.031007751937984496,0.031007751937984496,8
2025-02,0,151,0.0,0.0,151
2025-02,1,151,0.0,0.0,99
2025-02,2,151,0.006622516556291391,0.006622516556291391,68
2025-02,3,151,0.019867549668874173,0.019867549668874173,37
2025-02,4,151,0.019867549668874173,0.019867549668874173,23
2025-02,5,151,0.019867549668874173,0.019867549668874173,18
2025-02,6,151,0.033112582781456956,0.033112582781456956,18
2025-03,0,130,0.0,0.0,130
2025-03,1,130,0.0,0.0,90
2025-03,2,130,0.007692307692307693,0.007692307692307693,65
2025-03,3,130,0.007692307692307693,0.007692307692307693,41
2025-03,4,130,0.007692307692307693,0.007692307692307693,28
2025-03,5,130,0.007692307692307693,0.007692307692307693,13
2025-03,6,130,0.015384615384615385,0.015384615384615385,13
2025-04,0,131,0.0,0.0,131
2025-04,1,131,0.007633587786259542,0.007633587786259542,82
2025-04,2,131,0.022900763358778626,0.022900763358778626,64
2025-04,3,131,0.030534351145038167,0.030534351145038167,47
2025-04,4,131,0.030534351145038167,0.030534351145038167,31
2025-04,5,131,0.030534351145038167,0.030534351145038167,19
2025-04,6,131,0.030534351145038167,0.030534351145038167,19
2025-05,0,126,0.0,0.0,126
2025-05,1,126,0.0,0.0,79
2025-05,2,126,0.0,0.0,54
2025-05,3,126,0.023809523809523808,0.023809523809523808,35
2025-05,4,126,0.023809523809523808,0.023809523809523808,25
2025-05,5,126,0.03968253968253968,0.03968253968253968,9
2025-05,6,126,0.03968253968253968,0.03968253968253968,9
2025-06,0,148,0.0,0.0,148
2025-06,1,148,0.0,0.0,94
2025-06,2,148,0.0,0.0,65
2025-06,3,148,0.0,0.0,48
2025-06,4,148,0.0,0.0,30
2025-06,5,148,0.0,0.0,19
2025-06,6,124,0.0,0.0,18
2025-07,0,145,0.0,0.0,145
2025-07,1,145,0.006896551724137931,0.006896551724137931,93
2025-07,2,145,0.027586206896551724,0.027586206896551724,64
2025-07,3,145,0.041379310344827586,0.041379310344827586,41
2025-07,4,145,0.041379310344827586,0.041379310344827586,24
2025-07,5,118,0.05084745762711865,0.05084745762711865,13
2025-08,0,135,0.0,0.0,135
2025-08,1,135,0.0,0.0,89
2025-08,2,135,0.014814814814814815,0.014814814814814815,69
2025-08,3,135,0.022222222222222223,0.022222222222222223,49
2025-08,4,109,0.027522935779816515,0.027522935779816515,26
2025-09,0,141,0.0,0.0,141
2025-09,1,141,0.0,0.0,93
2025-09,2,141,0.0070921985815602835,0.0070921985815602835,68
2025-09,3,106,0.009433962264150943,0.009433962264150943,37
2025-10,0,149,0.0,0.0,149
2025-10,1,149,0.006711409395973154,0.006711409395973154,98
2025-10,2,112,0.008928571428571428,0.008928571428571428,47
2025-11,0,140,0.0,0.0,140
2025-11,1,101,0.0,0.0,62
2025-12,0,112,0.0,0.0,112
