risk_score_decile,cohort,mob,loan_cnt,dpd30_rate,ever_dpd30_rate,active_loan_cnt
1,2024-01,0,3,0.0,0.0,3
1,2024-01,1,3,0.0,0.0,3
1,2024-01,2,3,0.0,0.0,2
1,2024-01,3,3,0.0,0.0,2
1,2024-01,4,3,0.0,0.0,2
1,2024-01,5,3,0.0,0.0,1
1,2024-01,6,3,0.0,0.0,1
1,2024-02,0,14,0.0,0.0,14
1,2024-02,1,14,0.07142857142857142,0.07142857142857142,8
1,2024-02,2,14,0.07142857142857142,0.07142857142857142,5
1,2024-02,3,14,0.21428571428571427,0.21428571428571427,3
1,2024-02,4,14,0.21428571428571427,0.21428571428571427,3
1,2024-02,5,14,0.21428571428571427,0.21428571428571427,3
1,2024-02,6,14,0.21428571428571427,0.21428571428571427,3
1,2024-03,0,19,0.0,0.0,19
1,2024-03,1,19,0.0,0.0,17
1,2024-03,2,19,0.0,0.0,14
1,2024-03,3,19,0.05263157894736842,0.05263157894736842,12
1,2024-03,4,19,0.05263157894736842,0.05263157894736842,7
1,2024-03,5,19,0.05263157894736842,0.05263157894736842,4
1,2024-03,6,19,0.05263157894736842,0.05263157894736842,4
1,2024-04,0,19,0.0,0.0,19
1,2024-04,1,19,0.0,0.0,10
1,2024-04,2,19,0.0,0.0,10
1,2024-04,3,19,0.05263157894736842,0.05263157894736842,7
1,2024-04,4,19,0.05263157894736842,0.05263157894736842,5
1,2024-04,5,19,0.05263157894736842,0.05263157894736842,3
1,2024-04,6,19,0.05263157894736842,0.05263157894736842,3
1,2024-05,0,14,0.0,0.0,14
1,2024-05,1,14,0.07142857142857142,0.07142857142857142,10
1,2024-05,2,14,0.07142857142857142,0.07142857142857142,6
1,2024-05,3,14,0.14285714285714285,0.14285714285714285,5
1,2024-05,4,14,0.14285714285714285,0.14285714285714285,2
1,2024-05,5,14,0.14285714285714285,0.14285714285714285,2
1,2024-05,6,14,0.14285714285714285,0.14285714285714285,2
1,2024-06,0,12,0.0,0.0,12
1,2024-06,1,12,0.0,0.0,6
1,2024-06,2,12,0.0,0.0,4
1,2024-06,3,12,0.0,0.0,4
1,2024-06,4,12,0.0,0.0,3
1,2024-06,5,12,0.0,0.0,1
1,2024-06,6,12,0.0,0.0,1
1,2024-07,0,22,0.0,0.0,22
1,2024-07,1,22,0.0,0.0,14
1,2024-07,2,22,0.0,0.0,11
1,2024-07,3,22,0.045454545454545456,0.045454545454545456,7
1,2024-07,4,22,0.045454545454545456,0.045454545454545456,4
1,2024-07,5,22,0.045454545454545456,0.045454545454545456,1
1,2024-07,6,22,0.045454545454545456,0.045454545454545456,1
1,2024-08,0,9,0.0,0.0,9
1,2024-08,1,9,0.0,0.0,5
1,2024-08,2,9,0.0,0.0,4
1,2024-08,3,9,0.0,0.0,3
1,2024-08,4,9,0.0,0.0,2
1,2024-08,5,9,0.0,0.0,1
1,2024-08,6,9,0.0,0.0,1
1,2024-09,0,8,0.0,0.0,8
1,2024-09,1,8,0.125,0.125,4
1,2024-09,2,8,0.25,0.25,3
1,2024-09,3,8,0.25,0.25,2
1,2024-09,4,8,0.25,0.25,1
1,2024-09,5,8,0.25,0.25,0
1,2024-09,6,8,0.25,0.25,0
1,2024-10,0,15,0.0,0.0,15
1,2024-10,1,15,0.06666666666666667,0.06666666666666667,13
1,2024-10,2,15,0.06666666666666667,0.06666666666666667,10
1,2024-10,3,15,0.06666666666666667,0.06666666666666667,8
1,2024-10,4,15,0.06666666666666667,0.06666666666666667,6
1,2024-10,5,15,0.06666666666666667,0.06666666666666667,3
1,2024-10,6,15,0.06666666666666667,0.06666666666666667,3
1,2024-11,0,15,0.0,0.0,15
1,2024-11,1,15,0.06666666666666667,0.06666666666666667,11
1,2024-11,2,15,0.06666666666666667,0.06666666666666667,8
1,2024-11,3,15,0.06666666666666667,0.06666666666666667,6
1,2024-11,4,15,0.06666666666666667,0.06666666666666667,6
1,2024-11,5,15,0.06666666666666667,0.06666666666666667,4
1,2024-11,6,15,0.13333333333333333,0.13333333333333333,4
1,2024-12,0,20,0.0,0.0,20
1,2024-12,1,20,0.05,0.05,18
1,2024-12,2,20,0.1,0.1,10
1,2024-12,3,20,0.1,0.1,9
1,2024-12,4,20,0.1,0.1,5
1,2024-12,5,20,0.1,0.1,3
1,2024-12,6,20,0.1,0.1,3
1,2025-01,0,12,0.0,0.0,12
1,2025-01,1,12,0.0,0.0,6
1,2025-01,2,12,0.0,0.0,4
1,2025-01,3,12,0.08333333333333333,0.08333333333333333,3
